Date,Count
2021-02-10,11
2020-10-06,21
2020-08-27,24
2020-06-19,1
2020-05-13,1
2020-04-09,3
2019-11-25,25
2019-10-09,5
2019-10-08,35
2019-10-07,2
2019-10-04,5
2019-08-23,26
2019-07-16,28
2019-06-25,13
2019-06-04,11
2019-05-20,6
2019-05-09,1
2019-03-08,8
2019-02-28,4
2019-02-12,2
2019-02-06,1
2018-12-06,3
2018-11-28,10
2018-10-02,39
2018-08-24,30
2018-06-20,13
2018-05-25,4
2018-05-08,1
2018-04-06,30
2018-02-13,3
2017-11-02,7
2017-10-18,2
2017-10-12,5
2017-10-05,12
2017-07-06,6
2017-06-26,2
2017-06-23,10
2017-06-01,11
2017-04-20,4
2017-03-28,2
2017-03-03,7
2017-02-22,3
2017-01-07,4
2016-11-30,4
2016-11-29,23
2016-11-18,20
2016-10-24,4
2016-09-29,4
2016-06-28,40
2016-06-21,8
2016-05-26,20
2016-02-26,3
