Date,Neg_Count
2021-03-18,8
2021-02-10,13
2020-10-06,76
2020-08-27,28
2020-06-19,15
2020-05-21,11
2020-05-13,24
2020-04-09,22
2019-11-25,31
2019-10-09,11
2019-10-08,36
2019-10-07,8
2019-10-04,12
2019-08-23,62
2019-07-16,55
2019-06-25,30
2019-06-04,21
2019-05-20,65
2019-05-09,13
2019-03-11,8
2019-03-08,24
2019-02-28,25
2019-02-12,10
2019-02-06,4
2018-12-06,10
2018-12-03,6
2018-11-28,67
2018-10-02,68
2018-09-27,8
2018-08-24,63
2018-06-20,28
2018-05-25,36
2018-05-08,6
2018-04-06,39
2018-02-13,9
2017-11-02,29
2017-10-18,22
2017-10-12,31
2017-10-05,14
2017-08-30,33
2017-07-06,58
2017-06-26,26
2017-06-23,65
2017-06-01,17
2017-04-20,29
2017-04-05,1
2017-03-28,12
2017-03-03,35
2017-02-22,12
2017-01-07,20
2016-11-30,15
2016-11-29,49
2016-11-18,33
2016-10-24,8
2016-09-29,57
2016-06-28,67
2016-06-21,15
2016-05-26,59
2016-02-26,20
