Week,Sent_Count
2021-03-15,10
2021-02-08,5
2020-10-05,-8
2020-08-24,2
2020-06-15,-3
2020-05-18,0
2020-05-11,-14
2020-04-06,-2
2019-11-25,3
2019-10-07,35
2019-09-30,3
2019-08-19,-19
2019-07-15,-6
2019-06-24,3
2019-06-03,-6
2019-05-20,-19
2019-05-06,15
2019-03-11,1
2019-03-04,27
2019-02-25,17
2019-02-11,9
2019-02-04,27
2018-12-03,32
2018-11-26,-12
2018-10-01,-37
2018-09-24,15
2018-08-20,-20
2018-06-18,4
2018-05-21,20
2018-05-07,1
2018-04-02,12
2018-02-12,17
2017-10-30,8
2017-10-16,25
2017-10-09,-9
2017-10-02,4
2017-08-28,8
2017-07-03,-19
2017-06-26,7
2017-06-19,-24
2017-05-29,1
2017-04-17,0
2017-04-03,10
2017-03-27,8
2017-02-27,13
2017-02-20,1
2017-01-02,-7
2016-11-28,6
2016-11-14,3
2016-10-24,-6
2016-09-26,-6
2016-06-27,5
2016-06-20,-10
2016-05-23,2
2016-02-22,-5
