word,cnt_word
000,7
03,1
10,16
100,7
101,1
102,2
1029,1
104,1
10580,1
107,1
108,2
109,1
11,7
1109,1
113,1
116,2
119,1
11th,5
12,21
121,1
125,1
128,1
128th,1
129,1
12th,1
13,2
138,2
13th,1
14,6
1483,1
15,2
1525,1
1553,1
1557,1
157,1
16,2
1687,1
1692,1
17,4
170,1
1720,1
1726,1
1870,1
19,6
1913,2
1930s,1
1934,1
1935,3
1937,1
1938,1
1940,1
1940s,1
1944,1
195,1
1950,1
1950s,2
1951,2
1959,2
1960,1
1960s,6
1965,1
1966,1
1967,4
1969,2
1970,3
1970s,4
1977,2
1980s,5
1981,1
1982,1
1983,1
1985,1
1987,3
1990s,8
1991,1
1992,1
1993,2
1994,1
1995,3
1996,1
1997,2
1998,1
1999,5
19th,1
20,13
200,1
2000,7
2000s,6
2001,2
2002,2
2003,1
2004,4
2005,6
2006,5
2007,8
2008,7
2009,5
2010,3
2011,8
2012,10
2013,11
2014,13
2015,18
2016,9
2017,15
2018,10
2019,9
2020,1
2021,2
2023,1
2066,1
20th,3
21,2
210,1
214,1
21646180,1
219,1
22,6
221,2
233,2
23407,1
24,2
24891,1
24x7,1
25,6
250,1
25148,1
255,1
26,4
267,1
27,3
273,2
288,1
29,4
30,3
300,3
31,3
32,7
333,1
34,2
341,2
35,3
356,1
357,1
36,2
37,5
379,1
39,2
398,1
3b,1
3s,1
406,1
411,1
42,1
43,2
45,1
47,2
473,1
48,6
49,2
4s,1
50,7
500,1
51,3
518,1
52,1
54,1
547,1
54th,1
55,2
56,3
57,1
5700,1
59,2
60,1
607,1
60th,1
61,2
61st,1
623,1
63,5
66,3
68,2
70,4
700,1
707,1
71,3
7250,1
75,3
771,1
79,1
80,2
82,1
824,1
825,1
829,2
83,2
837,2
85,1
86,1
87th,1
88,4
89,1
90,6
91,1
92,1
936,3
95,3
96,2
97,2
98,1
99,1
aaronson,1
aaronson_web,1
ability,17
able,20
abreast,1
abroad,6
abruptly,3
absence,1
absolute,1
absolutely,1
absorb,2
absorber,1
absorbing,3
academia,1
academic,2
academics,3
academy,1
accelerated,4
acceleration,3
accept,1
acceptance,1
accepted,2
access,12
accessible,2
accommodate,1
accommodation,11
accommodative,11
accompanied,1
accompany,1
accomplish,4
accomplished,4
accomplishments,1
accord,2
according,1
accordingly,3
account,17
accountability,16
accountable,13
accounted,2
accounts,4
accumulation,1
accurate,1
accurately,2
achieve,29
achieved,5
achieves,2
achieving,13
acknowledge,3
acknowledged,2
acknowledges,1
acquire,1
acquired,2
acquisition,1
acronyms,1
act,24
acted,3
acting,2
action,4
actions,22
activate,1
active,3
actively,7
activities,9
activity,21
acts,2
actual,10
actually,7
acute,2
adam,1
adapt,5
adapted,1
add,8
added,3
adding,6
addition,33
additional,12
address,31
addressed,3
addresses,2
addressing,12
adept,1
adequate,6
adjust,3
adjusted,3
adjusting,2
adjustment,3
adjustments,7
administered,2
administration,3
admittedly,1
adopt,3
adopted,8
adopting,1
adoption,3
adrian,1
advance,7
advanced,19
advancement,1
advancements,1
advances,6
advancing,1
advantage,4
advantageous,1
adverse,9
advice,3
advised,1
advisory,1
advocate,1
aei,1
affairs,3
affect,13
affected,9
affecting,6
affects,4
affiliated,1
affordable,5
african,1
aftermath,6
afternoon,4
age,14
agencies,17
agency,3
agenda,4
agent,2
aggregate,6
aggregators,2
aggressive,1
aggressively,1
aging,3
ago,24
agree,4
agreeing,1
agreement,8
agreements,5
agriculture,2
ahead,16
ahmed,3
aid,1
aided,1
aig,2
aim,7
aimed,1
aims,1
air,1
akin,3
alan,5
alarming,2
albeit,2
alec,1
alert,3
alexander,2
alfaro,1
align,2
aligned,1
alignment,1
alike,3
alleviated,1
allocation,2
allow,16
allowed,1
allowing,6
allows,6
alteration,1
altered,1
altering,1
alternative,7
alternatives,1
america,2
american,33
americans,20
amico,1
amid,4
amir,1
aml,1
amounts,5
ample,4
amplification,1
amplify,5
amply,1
amsterdam,1
analysis,14
analyst,1
analysts,2
analytical,1
analytics,1
analyze,3
analyzing,3
anchored,16
anchoring,1
andrei,2
andrew,5
angeles,2
angles,1
anna,1
anne,1
announce,2
announced,2
announcement,1
announcements,1
annual,19
annualized,2
annually,3
anomalous,1
anomaly,1
answer,7
answering,2
answers,4
anti,1
anticipate,3
anticipated,3
anticipation,1
antipoverty,1
antiquated,1
anusha,1
apace,1
apparent,4
apparently,1
