date,open,high,low,close,volume,change
1999-11-01,75.25,75.91,75.22,75.41,452100.0,0.0021262458471760343
1999-11-02,75.47,76.47,75.41,75.73,823200.0,0.0034450775142441385
1999-11-03,76.5,76.75,76.22,76.67,622700.0,0.0022222222222222443
1999-11-04,77.38,77.47,76.69,77.25,419200.0,-0.0016800206771775065
1999-11-05,79.0,79.13,77.72,78.28,632500.0,-0.009113924050632898
1999-11-08,78.13,78.81,77.89,78.36,476800.0,0.0029438115960579033
1999-11-09,79.0,79.0,77.59,78.06,637800.0,-0.01189873417721516
1999-11-10,77.63,78.86,77.63,78.41,2014900.0,0.0100476619863455
1999-11-11,78.66,78.88,78.06,78.41,952100.0,-0.003178235443681668
1999-11-12,78.75,79.3,77.5,79.28,881100.0,0.006730158730158744
1999-11-15,79.38,79.75,79.13,79.75,725000.0,0.004661123708742814
1999-11-16,80.13,81.17,79.81,81.17,600300.0,0.012978909272432376
1999-11-17,81.0,81.47,80.77,81.0,1247600.0,0.0
1999-11-18,81.38,81.72,81.03,81.58,553300.0,0.0024576062914721413
1999-11-19,81.94,82.06,81.19,81.44,687500.0,-0.0061020258725897
1999-11-22,81.59,81.72,80.58,80.91,413600.0,-0.008334354700331005
1999-11-23,81.0,81.13,79.08,79.14,883200.0,-0.022962962962962956
1999-11-24,79.14,80.09,78.63,79.97,715400.0,0.01048774323982813
1999-11-26,80.31,80.53,80.0,80.02,444200.0,-0.0036110073465322654
1999-11-29,80.0,80.25,78.69,78.97,1369100.0,-0.012875000000000015
1999-11-30,79.0,79.75,78.63,79.3,929700.0,0.0037974683544303436
1999-12-01,79.13,79.75,79.13,79.75,562800.0,0.007835207885757672
1999-12-02,79.94,80.84,79.78,80.81,290600.0,0.01088316237177889
1999-12-03,82.0,82.25,81.5,81.69,494400.0,-0.0037804878048780764
1999-12-06,81.88,82.19,80.75,81.06,776300.0,-0.010014655593551455
1999-12-07,81.06,81.06,79.81,80.63,476600.0,-0.005304712558598653
1999-12-08,80.66,80.66,79.41,79.41,1321200.0,-0.015497148524671461
1999-12-09,80.09,80.5,78.28,78.97,796000.0,-0.013984267698838863
1999-12-10,79.5,79.53,78.39,79.31,575100.0,-0.0023899371069182104
1999-12-13,78.88,79.94,78.88,79.25,817900.0,0.004690669371196813
1999-12-14,78.88,79.19,77.5,77.69,783300.0,-0.015086206896551697
1999-12-15,77.44,78.56,77.25,78.19,1196700.0,0.009684917355371902
1999-12-16,78.63,79.77,78.33,79.06,1628200.0,0.005468650642248593
1999-12-17,79.5,80.0,78.44,78.8,487700.0,-0.008805031446540917
