day,favorites
2016-01-01,68955
2016-01-02,73713
2016-01-03,101064
2016-01-04,20981
2016-01-05,47671
2016-01-06,72151
2016-01-07,58819
2016-01-08,62336
2016-01-09,34072
2016-01-10,53400
2016-01-11,51173
2016-01-12,41659
2016-01-13,92630
2016-01-14,68029
2016-01-15,23733
2016-01-16,117943
2016-01-17,40668
2016-01-18,34664
2016-01-19,65897
2016-01-20,55343
2016-01-21,56351
2016-01-22,107921
2016-01-23,109170
2016-01-24,63476
2016-01-25,66970
2016-01-26,116031
2016-01-27,100835
2016-01-28,159345
2016-01-29,137088
2016-01-30,94241
2016-01-31,87133
2016-02-01,21738
2016-02-02,114349
2016-02-03,104336
2016-02-04,61588
2016-02-05,51374
2016-02-06,95008
2016-02-07,105405
2016-02-08,79084
2016-02-09,124127
2016-02-10,72080
2016-02-11,89222
2016-02-12,113717
2016-02-13,124105
2016-02-14,171106
2016-02-15,66900
2016-02-16,66917
2016-02-17,135939
2016-02-18,78971
2016-02-19,112923
2016-02-20,118816
2016-02-21,88813
2016-02-22,127883
2016-02-23,155873
2016-02-24,154433
2016-02-25,189031
2016-02-26,219660
2016-02-27,150127
2016-02-28,239491
2016-02-29,117575
2016-03-01,108444
2016-03-02,271340
2016-03-03,225439
2016-03-04,107830
2016-03-05,159163
2016-03-06,144144
2016-03-07,160196
2016-03-08,192211
2016-03-09,119758
2016-03-10,21432
2016-03-11,113228
2016-03-12,268097
2016-03-13,128556
2016-03-14,78890
2016-03-15,298608
2016-03-16,318182
2016-03-17,171487
2016-03-18,195870
2016-03-19,266470
2016-03-20,233168
2016-03-21,14473
2016-03-22,232905
2016-03-23,292472
2016-03-24,345685
2016-03-25,13511
2016-03-26,220072
2016-03-27,132669
2016-03-28,123048
2016-03-29,226457
2016-03-30,86798
2016-03-31,92698
2016-04-01,136965
2016-04-02,118243
2016-04-03,117486
2016-04-04,97072
2016-04-05,116149
2016-04-06,20628
2016-04-07,57722
2016-04-08,125509
2016-04-09,152509
2016-04-10,132711
2016-04-11,137704
2016-04-12,65011
2016-04-13,35086
2016-04-14,71624
2016-04-15,31244
2016-04-16,110480
2016-04-17,136489
2016-04-18,56288
2016-04-19,134906
2016-04-20,130637
2016-04-21,106798
