date,Sent_Count,favorites,Count,sentcount1day,favcount1day,econcount1day,job_change1day,growthgap1day,change1day
2016-05-11,-6,211703,1,2.0,159922.0,1.0,197.0,1.8,0.001556647370725267
2016-05-24,-5,124673,2,-6.0,211703.0,1.0,197.0,1.8,-0.006781780578134754
2016-05-31,7,122838,2,-5.0,124673.0,2.0,197.0,1.8,0.008245622544502194
2016-06-03,7,172336,1,7.0,122838.0,2.0,197.0,1.5,-0.0034194528875379888
2016-06-06,-4,129170,2,7.0,172336.0,1.0,41.0,1.5,0.000142687277051135
2016-06-13,-2,182567,1,-4.0,129170.0,2.0,41.0,1.5,0.0030849549121974643
2016-06-16,2,56606,2,-2.0,182567.0,1.0,41.0,1.5,-0.004346580053496489
2016-06-17,2,140091,1,2.0,56606.0,2.0,41.0,1.5,0.002984356197352609
2016-06-21,-8,244789,2,2.0,140091.0,1.0,41.0,1.5,-0.003137519911183942
2016-06-27,-1,108981,1,-8.0,244789.0,2.0,41.0,1.5,0.0006721075372058874
2016-06-29,2,113064,2,-1.0,108981.0,1.0,41.0,1.5,-0.009871521404831636
2016-06-30,-3,137945,1,2.0,113064.0,2.0,41.0,1.2,0.008884983401679326
2016-07-06,-7,265949,2,-3.0,137945.0,1.0,41.0,1.2,0.010955069736016513
2016-07-12,-1,285599,1,-7.0,265949.0,2.0,41.0,1.2,0.008805273540874677
2016-07-13,-7,255007,1,-1.0,285599.0,1.0,258.0,1.2,0.001957768144315422
2016-07-26,-3,479213,1,-7.0,255007.0,1.0,258.0,1.2,-0.002413665057556676
2016-08-01,-11,454687,1,-3.0,479213.0,1.0,258.0,1.2,0.0010160254930032737
2016-08-02,-3,325161,1,-11.0,454687.0,1.0,258.0,0.1,-0.0011510658870113725
2016-08-08,0,172874,1,-3.0,325161.0,1.0,258.0,0.1,-0.0050773136395107065
2016-08-12,-1,250298,1,0.0,172874.0,1.0,371.0,0.1,-0.0016025641025640765
2016-08-25,-1,205661,1,-1.0,250298.0,1.0,371.0,0.1,0.000778780521324916
2016-09-23,0,106014,1,-1.0,205661.0,1.0,371.0,0.1,0.0013799448022078333
2016-09-27,4,959835,2,0.0,106014.0,1.0,143.0,0.2,-0.0033684016242155304
2016-10-05,-3,924564,3,4.0,959835.0,2.0,143.0,0.2,0.0071011445923848705
2016-10-20,-5,1345482,3,-3.0,924564.0,3.0,143.0,-0.1,0.0010213082029617883
2017-01-03,1,480914,1,-5.0,1345482.0,3.0,289.0,-0.1,4.67573759760177e-05
2017-01-06,-2,606256,1,1.0,480914.0,1.0,130.0,-1.3,0.0008887308922858918
2017-01-26,-3,827391,2,-2.0,606256.0,1.0,214.0,-1.3,0.003001809914801601
2017-01-27,-2,719908,1,-3.0,827391.0,2.0,214.0,-1.3,-0.0003051438535309205
2017-02-16,3,556404,2,-2.0,719908.0,1.0,214.0,0.6,-0.0019614680498648267
2017-03-07,1,649797,1,3.0,556404.0,2.0,197.0,0.6,-0.0009789316875930614
2017-03-15,1,515826,2,1.0,649797.0,1.0,197.0,0.6,-0.0015166835187058207
2017-03-28,1,567799,1,1.0,515826.0,2.0,183.0,0.6,0.005851153392827018
2017-03-30,0,327343,3,1.0,567799.0,1.0,183.0,0.6,0.008788099627041551
2017-04-03,2,527491,1,0.0,327343.0,3.0,183.0,0.4,0.0034823969083110085
2017-04-11,0,269825,1,2.0,527491.0,1.0,183.0,0.4,-0.0019932145886344312
2017-04-26,-1,407113,1,0.0,269825.0,1.0,139.0,0.4,0.000681140911025954
2017-04-27,-8,545948,1,-1.0,407113.0,1.0,139.0,0.4,-0.00046119659553052375
2017-05-30,-2,211121,1,-8.0,545948.0,1.0,139.0,0.4,-0.0007119822423253168
2017-06-19,4,383712,1,-2.0,211121.0,1.0,220.0,1.1,0.0006629651114609952
2017-06-30,0,500552,1,4.0,383712.0,1.0,141.0,1.1,0.004392626955129493
2017-07-12,4,912673,1,0.0,500552.0,1.0,141.0,0.9,-0.001981178801386783
2017-07-31,-2,318543,1,4.0,912673.0,1.0,211.0,0.9,0.0029182079736949427
2017-08-04,5,515529,2,-2.0,318543.0,1.0,211.0,-0.9,-0.0024255164328738092
2017-08-14,3,542279,4,5.0,515529.0,2.0,228.0,-0.9,-0.00044440853264388183
2017-08-16,2,663834,1,3.0,542279.0,4.0,228.0,-0.9,0.00386823567734838
2017-08-30,0,438175,2,2.0,663834.0,1.0,228.0,-0.9,-0.0006879527336004853
2017-09-06,5,436346,2,0.0,438175.0,2.0,228.0,-1.3,0.004819670791978019
2017-09-07,-1,422318,2,5.0,436346.0,2.0,190.0,-1.3,0.00024307243558581378
2017-09-14,-1,818266,2,-1.0,422318.0,2.0,190.0,-1.3,-0.0015369059656218222
2017-09-25,1,926179,1,-1.0,818266.0,2.0,190.0,-1.3,0.0011609287429943634
2017-09-28,0,368667,1,1.0,926179.0,1.0,190.0,-1.3,-0.0008830022075055142
2017-10-05,-3,509535,1,0.0,368667.0,1.0,190.0,-1.4,0.0024826812957994817
2017-10-10,4,651858,3,-3.0,509535.0,1.0,190.0,-1.4,0.004417448923246843
2017-10-11,5,845697,6,4.0,651858.0,3.0,42.0,-1.4,7.855459544387366e-05
2017-10-12,-3,502714,2,5.0,845697.0,6.0,42.0,-1.4,0.0020038505363247786
2017-10-16,6,502283,2,-3.0,502714.0,2.0,42.0,-1.4,-7.85360873321693e-05
2017-10-18,-1,938346,1,6.0,502283.0,2.0,42.0,-1.4,0.0003134673406213866
2017-10-19,1,407866,1,-1.0,938346.0,1.0,42.0,-1.4,-0.0007033997655334381
2017-10-20,1,616294,2,1.0,407866.0,1.0,42.0,-1.4,0.0037672173605932564
2017-10-23,2,336116,1,1.0,616294.0,2.0,42.0,-1.4,0.001597195169458609
2017-10-25,3,666207,1,2.0,336116.0,1.0,42.0,-1.4,-0.005320801615659486
2017-10-31,-2,774595,1,3.0,666207.0,1.0,42.0,-1.4,-0.003474119759544128
2017-11-01,1,869079,1,-2.0,774595.0,1.0,42.0,-0.1,-0.00011664981724873457
2017-11-07,3,416423,1,1.0,869079.0,1.0,42.0,-0.1,-0.0021314524879864024
2017-11-09,5,343497,2,3.0,416423.0,1.0,249.0,-0.1,-0.001158435340000816
2017-11-20,-5,386485,1,5.0,343497.0,2.0,249.0,-0.1,0.0017072129748185994
2017-11-29,0,873824,3,-5.0,386485.0,1.0,249.0,-0.1,0.0006198187030294609
2017-12-01,-3,759569,1,0.0,873824.0,3.0,249.0,-0.4,-0.0011786175956201134
2017-12-14,3,357900,3,-3.0,759569.0,1.0,249.0,-0.4,-0.001133101676990525
2017-12-28,2,508435,1,3.0,357900.0,3.0,196.0,-0.4,-0.0053540005241676965
2017-12-29,1,486530,1,2.0,508435.0,1.0,196.0,-0.3,-7.465750867886749e-05
2018-01-02,2,968955,2,1.0,486530.0,1.0,196.0,-0.3,-0.006219044427065726
2018-01-04,1,955328,2,2.0,968955.0,2.0,196.0,-0.3,0.003472222222222248
2018-01-08,-6,505238,2,1.0,955328.0,2.0,196.0,-0.3,0.0015117994100295909
2018-01-18,5,1057435,2,-6.0,505238.0,2.0,179.0,-0.3,0.0022318978449380323
2018-02-02,6,573930,1,5.0,1057435.0,2.0,179.0,-0.3,-0.001216545012165564
2018-02-20,10,851594,2,6.0,573930.0,1.0,81.0,1.3,-0.016530991145387017
2018-02-27,0,506895,2,10.0,851594.0,2.0,81.0,1.3,-0.002315921038120779
2018-03-01,-3,332230,1,0.0,506895.0,2.0,81.0,1.3,-0.013232174319513885
2018-03-02,-1,762012,3,-3.0,332230.0,1.0,81.0,1.4,-0.013669356324380221
2018-03-05,-6,518197,3,-1.0,762012.0,3.0,81.0,1.4,0.012340105342362576
2018-03-07,5,370938,2,-6.0,518197.0,3.0,81.0,1.4,0.016658573936428413
2018-03-14,2,621438,1,5.0,370938.0,2.0,81.0,1.4,0.008727165150506458
2018-03-15,2,339002,1,2.0,621438.0,1.0,378.0,1.4,-0.00903495194557428
2018-03-22,-3,642413,2,2.0,339002.0,1.0,378.0,1.4,-0.003189792663476857
2018-04-02,-2,573480,4,-3.0,642413.0,2.0,378.0,1.4,-0.015826210294501916
2018-04-03,3,943912,2,-2.0,573480.0,4.0,378.0,1.0,-0.01934869548657393
2018-04-04,0,501252,1,3.0,943912.0,2.0,378.0,1.0,0.00733959130065275
2018-04-06,1,400355,2,0.0,501252.0,1.0,378.0,1.0,0.026523855890944508
2018-04-11,3,708799,1,1.0,400355.0,2.0,195.0,1.0,-0.014046010173866785
2018-04-13,-1,587745,1,3.0,708799.0,1.0,195.0,1.0,0.00110069457623245
2018-04-17,-8,624720,6,-1.0,587745.0,1.0,195.0,1.0,-0.008451441606521998
