Date,Neg_Count
2021-05-20,1
2021-05-19,35
2021-05-15,21
2021-05-13,4
2021-05-12,22
2021-05-11,19
2021-05-10,2
2021-05-07,9
2021-05-06,3
2021-05-05,7
2021-05-03,5
2021-05-02,2
2021-05-01,2
2021-04-28,1
2021-04-27,8
2021-04-26,4
2021-04-23,7
2021-04-20,1
2021-04-18,1
2021-04-16,5
2021-04-14,3
2021-04-13,7
2021-04-12,4
2021-04-09,1
2021-04-08,6
2021-04-07,7
2021-04-06,7
2021-04-05,12
2021-04-04,1
2021-04-03,9
2021-03-31,6
2021-03-29,12
2021-03-26,1
2021-03-22,1
2021-03-21,10
2021-03-20,4
2021-03-15,12
2021-03-09,4
2021-03-05,27
2021-03-04,12
2021-02-22,9
2021-01-08,2
2021-01-06,22
2021-01-05,8
2021-01-04,4
2021-01-03,16
2021-01-02,10
2021-01-01,8
2020-12-30,20
2020-12-29,11
2020-12-28,2
2020-12-27,1
2020-12-26,17
2020-12-24,7
2020-12-23,6
2020-12-22,1
2020-12-21,19
2020-12-20,9
2020-12-19,16
2020-12-18,5
2020-12-17,5
2020-12-16,7
2020-12-15,7
2020-12-14,3
2020-12-13,9
2020-12-12,17
2020-12-11,5
2020-12-10,12
2020-12-09,5
2020-12-08,25
2020-12-07,2
2020-12-06,13
2020-12-05,4
2020-12-04,9
2020-12-03,3
2020-12-02,15
2020-12-01,13
2020-11-30,10
2020-11-28,7
2020-11-27,15
2020-11-26,6
2020-11-25,16
2020-11-24,10
2020-11-23,3
2020-11-22,14
2020-11-21,6
2020-11-20,7
2020-11-19,10
2020-11-18,17
2020-11-17,1
2020-11-16,13
2020-11-15,31
2020-11-14,14
2020-11-13,5
2020-11-12,17
2020-11-11,17
2020-11-10,8
2020-11-09,2
2020-11-08,7
2020-11-07,17
2020-11-06,9
2020-11-05,1
2020-11-04,5
2020-11-03,7
2020-11-02,29
2020-11-01,18
2020-10-31,26
2020-10-30,21
2020-10-29,11
2020-10-28,12
2020-10-27,17
2020-10-26,10
2020-10-25,18
2020-10-24,20
2020-10-23,13
2020-10-22,9
2020-10-21,12
2020-10-20,1
2020-10-19,8
2020-10-18,14
2020-10-17,12
2020-10-16,11
2020-10-15,28
2020-10-14,6
2020-10-13,31
2020-10-12,35
2020-10-11,12
2020-10-10,8
2020-10-09,14
2020-10-08,10
2020-10-07,36
2020-10-06,10
2020-10-05,7
2020-10-01,22
2020-09-30,19
2020-09-29,7
2020-09-28,9
2020-09-27,8
2020-09-26,2
2020-09-25,37
2020-09-24,6
2020-09-23,7
2020-09-22,12
2020-09-21,6
2020-09-20,3
2020-09-19,1
2020-09-18,17
2020-09-17,8
2020-09-16,11
2020-09-15,5
2020-09-14,48
2020-09-13,16
2020-09-12,15
2020-09-11,7
2020-09-10,22
2020-09-09,19
2020-09-08,54
2020-09-07,21
2020-09-06,14
2020-09-05,25
2020-09-04,7
2020-09-03,12
2020-09-02,18
2020-09-01,11
2020-08-31,13
2020-08-30,37
2020-08-29,11
2020-08-27,2
2020-08-26,2
2020-08-25,8
2020-08-24,4
2020-08-23,8
