Week,Count
2021-05-10,1
2021-04-19,1
2021-03-29,6
2021-03-15,2
2021-03-01,1
2021-02-22,1
2020-12-28,2
2020-12-14,1
2020-12-07,2
2020-11-16,2
2020-11-09,2
2020-11-02,7
2020-10-26,7
2020-10-19,3
2020-10-12,8
2020-10-05,1
2020-09-28,2
2020-09-21,2
2020-09-14,5
2020-09-07,8
2020-08-31,3
2020-08-17,2
2020-08-10,4
2020-08-03,7
2020-07-27,7
2020-07-20,2
2020-07-13,1
2020-07-06,4
2020-06-29,5
2020-06-22,1
2020-06-08,8
2020-06-01,6
2020-05-25,2
2020-05-18,3
2020-05-11,2
2020-05-04,2
2020-04-27,3
2020-04-20,3
2020-04-13,5
2020-04-06,1
2020-03-30,7
2020-03-23,3
2020-03-16,3
2020-03-09,11
2020-03-02,2
2020-02-24,3
2020-02-17,4
2020-02-10,7
2020-02-03,1
2020-01-27,7
2020-01-20,9
2020-01-13,13
2020-01-06,1
2019-12-30,4
2019-12-23,9
2019-12-16,11
2019-12-09,7
2019-12-02,7
2019-11-25,2
2019-11-18,4
2019-11-11,4
2019-11-04,5
2019-10-28,1
2019-10-21,7
2019-10-14,4
2019-10-07,10
2019-09-30,3
2019-09-23,1
2019-09-16,6
2019-09-09,11
2019-09-02,5
2019-08-26,8
2019-08-19,9
2019-08-12,8
2019-08-05,4
2019-07-29,6
2019-07-22,8
2019-07-15,6
2019-07-08,6
2019-07-01,2
2019-06-24,5
2019-06-17,2
2019-06-10,1
2019-06-03,3
2019-05-20,6
2019-05-13,4
2019-05-06,18
2019-04-29,8
2019-04-22,8
2019-04-15,2
2019-04-08,5
2019-04-01,6
2019-03-25,3
2019-03-11,4
2019-03-04,6
2019-02-25,3
2019-02-18,2
2019-02-11,3
2019-02-04,1
2019-01-28,4
2019-01-21,5
2019-01-14,9
2019-01-07,3
2018-12-31,4
2018-12-24,7
2018-12-17,5
2018-12-10,2
2018-12-03,6
2018-11-26,2
2018-11-19,2
2018-11-12,3
2018-11-05,4
2018-10-29,1
2018-10-22,1
2018-10-15,2
2018-10-08,1
2018-10-01,1
2018-09-24,1
2018-09-17,4
2018-09-03,6
2018-08-27,12
2018-08-20,2
2018-08-13,2
2018-08-06,6
2018-07-30,9
2018-07-23,4
2018-07-16,1
2018-07-09,5
2018-07-02,2
2018-06-25,3
2018-06-18,3
2018-06-11,8
2018-06-04,14
2018-05-28,5
2018-05-21,2
2018-05-14,4
2018-04-30,2
2018-04-23,2
2018-04-16,7
2018-04-09,2
2018-04-02,10
2018-03-19,3
2018-03-12,2
2018-03-05,8
2018-02-26,8
2018-02-19,3
2018-01-29,1
2018-01-15,5
2018-01-08,8
2018-01-01,5
2017-12-25,5
2017-12-18,2
2017-12-11,7
2017-12-04,5
2017-11-27,7
2017-11-20,2
2017-11-13,2
2017-11-06,3
2017-10-30,2
2017-10-23,2
2017-10-16,9
2017-10-09,13
2017-10-02,2
2017-09-25,3
2017-09-11,2
2017-09-04,4
2017-08-28,4
2017-08-21,3
2017-08-14,5
2017-07-31,4
2017-07-24,1
2017-07-10,3
2017-07-03,3
2017-06-26,2
2017-06-19,3
2017-05-29,1
2017-05-22,1
2017-04-24,2
2017-04-17,2
2017-04-10,1
2017-04-03,1
2017-03-27,5
2017-03-13,3
2017-03-06,2
2017-02-20,1
2017-02-13,2
2017-01-30,1
2017-01-23,4
2017-01-02,3
2016-12-26,2
2016-12-19,1
2016-11-28,6
2016-11-21,1
2016-10-17,3
2016-10-03,3
2016-09-26,3
2016-09-19,1
2016-08-22,1
2016-08-08,2
2016-08-01,2
2016-07-25,4
2016-07-18,1
2016-07-11,3
2016-07-04,2
2016-06-27,4
2016-06-20,3
2016-06-13,4
2016-06-06,2
2016-05-30,3
2016-05-23,3
2016-05-16,1
2016-05-09,3
2016-05-02,1
2016-04-25,1
2016-04-18,1
2016-04-04,1
2016-03-28,3
2016-03-14,1
2016-03-07,3
2016-02-29,1
2016-02-22,8
2016-02-08,3
2016-01-18,3
2016-01-11,1
2016-01-04,2
2015-12-28,3
