Date,Count
2016-01-01,7
2016-01-02,1
2016-01-03,74
2016-01-04,22
2016-01-05,13
2016-01-06,48
2016-01-07,45
2016-01-08,36
2016-01-09,15
2016-01-10,11
2016-01-11,21
2016-01-12,36
2016-01-13,32
2016-01-14,25
2016-01-15,42
2016-01-16,28
2016-01-17,35
2016-01-18,38
2016-01-19,37
2016-01-20,52
2016-01-21,51
2016-01-22,56
2016-01-23,13
2016-01-24,14
2016-01-25,19
2016-01-26,43
2016-01-27,30
2016-01-28,23
2016-01-29,17
2016-01-30,13
2016-01-31,38
2016-02-01,27
2016-02-02,29
2016-02-03,25
2016-02-04,18
2016-02-05,26
2016-02-06,25
2016-02-07,12
2016-02-08,22
2016-02-09,36
2016-02-10,27
2016-02-11,31
2016-02-12,50
2016-02-13,9
2016-02-14,11
2016-02-15,5
2016-02-16,34
2016-02-17,12
2016-02-18,24
2016-02-19,42
2016-02-20,4
2016-02-21,11
2016-02-22,24
2016-02-23,15
2016-02-24,17
2016-02-25,37
2016-02-26,26
2016-02-27,20
2016-02-28,13
2016-02-29,22
2016-03-01,24
2016-03-02,27
2016-03-03,58
2016-03-04,44
2016-03-05,7
2016-03-06,8
2016-03-07,35
2016-03-08,19
2016-03-09,33
2016-03-10,18
2016-03-11,19
2016-03-12,1
2016-03-13,51
2016-03-14,18
2016-03-15,31
2016-03-16,29
2016-03-17,48
2016-03-18,51
2016-03-19,9
2016-03-20,62
2016-03-21,36
2016-03-22,47
2016-03-23,43
2016-03-24,42
2016-03-25,35
2016-03-26,1
2016-03-27,15
2016-03-28,38
2016-03-29,38
2016-03-30,49
2016-03-31,66
2016-04-01,66
2016-04-02,11
2016-04-03,22
2016-04-04,30
2016-04-05,41
2016-04-06,32
2016-04-07,37
2016-04-08,30
2016-04-09,48
2016-04-10,18
2016-04-11,83
2016-04-12,62
2016-04-13,55
2016-04-14,41
2016-04-15,32
2016-04-16,30
2016-04-17,6
2016-04-18,78
2016-04-19,70
2016-04-20,75
2016-04-21,46
2016-04-22,34
2016-04-23,17
2016-04-24,16
2016-04-25,15
2016-04-26,49
2016-04-27,25
2016-04-28,40
2016-04-29,43
2016-04-30,9
2016-05-01,13
2016-05-02,29
2016-05-03,41
2016-05-04,21
2016-05-05,59
2016-05-06,28
2016-05-07,13
2016-05-08,13
2016-05-09,32
2016-05-10,28
2016-05-11,21
2016-05-12,35
2016-05-13,39
2016-05-14,15
2016-05-15,7
2016-05-16,35
2016-05-17,48
2016-05-18,37
2016-05-19,17
2016-05-20,30
2016-05-21,31
2016-05-22,8
2016-05-23,22
2016-05-24,36
2016-05-25,38
2016-05-26,48
2016-05-27,55
2016-05-28,7
2016-05-29,18
2016-05-30,16
2016-05-31,43
2016-06-01,31
2016-06-02,25
2016-06-03,8
2016-06-04,7
2016-06-05,5
2016-06-06,32
2016-06-07,48
2016-06-08,35
2016-06-09,58
2016-06-10,17
2016-06-11,12
2016-06-12,16
2016-06-13,30
2016-06-14,23
2016-06-15,28
2016-06-16,25
2016-06-17,23
2016-06-18,29
2016-06-19,10
2016-06-20,32
2016-06-21,70
2016-06-22,45
2016-06-23,28
2016-06-24,62
2016-06-25,77
2016-06-26,29
2016-06-27,34
2016-06-28,78
2016-06-29,64
2016-06-30,58
2016-07-01,34
2016-07-02,18
2016-07-03,12
2016-07-04,17
2016-07-05,28
2016-07-06,31
2016-07-07,48
2016-07-08,56
2016-07-09,25
2016-07-10,18
2016-07-11,36
2016-07-12,57
2016-07-13,42
2016-07-14,70
2016-07-15,29
2016-07-16,26
2016-07-17,12
2016-07-18,50
2016-07-19,43
2016-07-20,44
2016-07-21,31
2016-07-22,37
2016-07-23,5
2016-07-24,9
2016-07-25,89
2016-07-26,59
2016-07-27,70
2016-07-28,50
2016-07-29,38
2016-07-30,19
2016-07-31,12
2016-08-01,20
2016-08-02,71
2016-08-03,44
2016-08-04,26
2016-08-05,12
2016-08-06,11
2016-08-07,7
2016-08-08,26
2016-08-09,31
2016-08-10,40
2016-08-11,32
2016-08-12,32
2016-08-13,18
2016-08-14,25
2016-08-15,31
2016-08-16,42
2016-08-17,35
2016-08-18,47
2016-08-19,28
2016-08-20,35
2016-08-21,23
2016-08-22,27
2016-08-23,29
2016-08-24,66
2016-08-25,29
2016-08-26,65
2016-08-27,14
2016-08-28,10
2016-08-29,30
2016-08-30,41
2016-08-31,43
2016-09-01,92
2016-09-02,32
2016-09-03,18
2016-09-04,13
2016-09-05,6
2016-09-06,19
2016-09-07,43
2016-09-08,53
2016-09-09,39
2016-09-10,16
2016-09-11,10
2016-09-12,43
2016-09-13,20
2016-09-14,46
2016-09-15,45
2016-09-16,54
2016-09-17,27
2016-09-18,3
2016-09-19,15
2016-09-20,63
2016-09-21,35
2016-09-22,29
2016-09-23,23
2016-09-24,16
2016-09-25,5
2016-09-26,30
2016-09-27,69
2016-09-28,16
2016-09-29,29
2016-09-30,34
2016-10-01,20
2016-10-02,5
2016-10-03,21
2016-10-04,36
2016-10-05,25
2016-10-06,48
2016-10-07,29
2016-10-08,5
2016-10-09,3
2016-10-10,28
2016-10-11,31
2016-10-12,14
2016-10-13,54
2016-10-14,11
2016-10-15,11
2016-10-16,14
2016-10-17,22
2016-10-18,13
2016-10-19,31
2016-10-20,44
2016-10-21,40
2016-10-22,32
2016-10-23,26
2016-10-24,39
2016-10-25,25
2016-10-26,19
2016-10-27,28
2016-10-28,35
2016-10-29,11
2016-10-30,3
2016-10-31,13
2016-11-01,30
2016-11-02,38
2016-11-03,58
2016-11-04,32
2016-11-05,27
2016-11-06,11
2016-11-07,18
2016-11-08,44
2016-11-09,34
2016-11-10,36
2016-11-11,26
2016-11-12,13
2016-11-13,13
2016-11-14,40
2016-11-15,63
2016-11-16,43
2016-11-17,95
2016-11-18,27
2016-11-19,10
2016-11-20,4
2016-11-21,24
2016-11-22,42
2016-11-23,16
2016-11-24,25
2016-11-25,13
2016-11-26,6
2016-11-27,1
