day,favorites
2016-01-01,25
2016-01-02,37
2016-01-03,159
2016-01-04,224
2016-01-05,156
2016-01-06,664
2016-01-07,605
2016-01-08,206
2016-01-09,306
2016-01-10,123
2016-01-11,169
2016-01-12,661
2016-01-13,288
2016-01-14,283
2016-01-15,710
2016-01-16,705
2016-01-17,572
2016-01-18,794
2016-01-19,213
2016-01-20,989
2016-01-21,359
2016-01-22,535
2016-01-23,160
2016-01-24,208
2016-01-25,563
2016-01-26,500
2016-01-27,337
2016-01-28,608
2016-01-29,157
2016-01-30,459
2016-01-31,162
2016-02-01,276
2016-02-02,264
2016-02-03,433
2016-02-04,177
2016-02-05,501
2016-02-06,385
2016-02-07,122
2016-02-08,502
2016-02-09,757
2016-02-10,352
2016-02-11,259
2016-02-12,381
2016-02-13,324
2016-02-14,446
2016-02-15,277
2016-02-16,687
2016-02-17,356
2016-02-18,313
2016-02-19,509
2016-02-20,235
2016-02-21,93
2016-02-22,198
2016-02-23,138
2016-02-24,637
2016-02-25,308
2016-02-26,536
2016-02-27,200
2016-02-28,47
2016-02-29,181
2016-03-01,336
2016-03-02,755
2016-03-03,451
2016-03-04,511
2016-03-05,217
2016-03-06,181
2016-03-07,380
2016-03-08,250
2016-03-09,589
2016-03-10,289
2016-03-11,218
2016-03-12,38
2016-03-13,302
2016-03-14,444
2016-03-15,355
2016-03-16,571
2016-03-17,1058
2016-03-18,387
2016-03-19,65
2016-03-20,377
2016-03-21,242
2016-03-22,498
2016-03-23,947
2016-03-24,474
2016-03-25,535
2016-03-26,99
2016-03-27,111
2016-03-28,701
2016-03-29,655
2016-03-30,534
2016-03-31,618
2016-04-01,697
2016-04-02,638
2016-04-03,318
2016-04-04,728
2016-04-05,526
2016-04-06,505
2016-04-07,662
2016-04-08,629
2016-04-09,211
2016-04-10,434
2016-04-11,453
2016-04-12,860
2016-04-13,834
2016-04-14,440
2016-04-15,433
2016-04-16,261
2016-04-17,233
2016-04-18,657
2016-04-19,593
2016-04-20,521
2016-04-21,574
2016-04-22,549
2016-04-23,259
2016-04-24,507
2016-04-25,637
2016-04-26,1063
2016-04-27,487
2016-04-28,1031
2016-04-29,566
2016-04-30,103
2016-05-01,254
2016-05-02,825
2016-05-03,891
2016-05-04,473
2016-05-05,472
2016-05-06,772
2016-05-07,128
2016-05-08,219
2016-05-09,449
2016-05-10,406
2016-05-11,436
2016-05-12,1007
2016-05-13,446
2016-05-14,239
2016-05-15,148
2016-05-16,411
2016-05-17,1716
2016-05-18,420
2016-05-19,868
2016-05-20,713
2016-05-21,209
2016-05-22,156
2016-05-23,769
2016-05-24,487
2016-05-25,482
2016-05-26,401
2016-05-27,1087
2016-05-28,369
2016-05-29,384
2016-05-30,449
2016-05-31,800
2016-06-01,910
2016-06-02,740
2016-06-03,540
2016-06-04,202
2016-06-05,96
2016-06-06,456
2016-06-07,654
2016-06-08,492
2016-06-09,469
2016-06-10,275
2016-06-11,73
2016-06-12,479
2016-06-13,297
2016-06-14,786
2016-06-15,402
2016-06-16,529
2016-06-17,481
2016-06-18,303
2016-06-19,239
2016-06-20,1325
2016-06-21,2709
2016-06-22,584
2016-06-23,812
2016-06-24,1805
2016-06-25,552
2016-06-26,374
2016-06-27,1293
2016-06-28,1624
2016-06-29,1524
2016-06-30,1040
2016-07-01,772
2016-07-02,302
2016-07-03,366
2016-07-04,384
2016-07-05,481
2016-07-06,710
2016-07-07,780
2016-07-08,1140
2016-07-09,2136
2016-07-10,206
2016-07-11,1035
2016-07-12,805
2016-07-13,773
2016-07-14,1480
2016-07-15,335
2016-07-16,210
2016-07-17,520
2016-07-18,2096
2016-07-19,967
2016-07-20,752
2016-07-21,1890
2016-07-22,766
2016-07-23,285
2016-07-24,345
2016-07-25,557
2016-07-26,570
2016-07-27,1149
2016-07-28,805
2016-07-29,814
2016-07-30,187
2016-07-31,363
2016-08-01,343
2016-08-02,1054
2016-08-03,1175
2016-08-04,903
2016-08-05,462
2016-08-06,501
2016-08-07,125
2016-08-08,458
2016-08-09,493
2016-08-10,663
2016-08-11,657
2016-08-12,847
2016-08-13,37
2016-08-14,772
2016-08-15,624
2016-08-16,906
2016-08-17,839
2016-08-18,552
2016-08-19,1173
2016-08-20,211
2016-08-21,1170
2016-08-22,2477
2016-08-23,1280
2016-08-24,2017
2016-08-25,1097
