week,favorites
2015-12-28,221
2016-01-04,2284
2016-01-11,3388
2016-01-18,3258
2016-01-25,2786
2016-02-01,2158
2016-02-08,3021
2016-02-15,2470
2016-02-22,2064
2016-02-29,2632
2016-03-07,2066
2016-03-14,3257
2016-03-21,2906
2016-03-28,4161
2016-04-04,3695
2016-04-11,3514
2016-04-18,3660
2016-04-25,4141
2016-05-02,3780
2016-05-09,3131
2016-05-16,4493
2016-05-23,3979
2016-05-30,3737
2016-06-06,2898
2016-06-13,3037
2016-06-20,8161
2016-06-27,6921
2016-07-04,5837
2016-07-11,5158
2016-07-18,7101
2016-07-25,4445
2016-08-01,4563
2016-08-08,3927
2016-08-15,5475
2016-08-22,9914
2016-08-29,6844
2016-09-05,5423
2016-09-12,6501
2016-09-19,8852
2016-09-26,8220
2016-10-03,6134
2016-10-10,4619
2016-10-17,4093
2016-10-24,5723
2016-10-31,3716
2016-11-07,6524
2016-11-14,37638
2016-11-21,5360
2016-11-28,4534
2016-12-05,3577
2016-12-12,1240
2016-12-19,3698
2016-12-26,3549
2017-01-02,5429
2017-01-09,9367
2017-01-16,5991
2017-01-23,66538
2017-01-30,51369
2017-02-06,9375
2017-02-13,7075
2017-02-20,11532
2017-02-27,10719
2017-03-06,5766
2017-03-13,5794
2017-03-20,6246
2017-03-27,8436
2017-04-03,7296
2017-04-10,7876
2017-04-17,6391
2017-04-24,3905
2017-05-01,8115
2017-05-08,4580
2017-05-15,6109
2017-05-22,4470
2017-05-29,4891
2017-06-05,5918
2017-06-12,20634
2017-06-19,9412
2017-06-26,9710
2017-07-03,4578
2017-07-10,6388
2017-07-17,5327
2017-07-24,9687
2017-07-31,7318
2017-08-07,7289
2017-08-14,8177
2017-08-21,4511
2017-08-28,4419
2017-09-04,7872
2017-09-11,6610
2017-09-18,5964
2017-09-25,7590
2017-10-02,8976
2017-10-09,13572
2017-10-16,7402
2017-10-23,10116
2017-10-30,9958
2017-11-06,5275
2017-11-13,8668
2017-11-20,8338
2017-11-27,9640
2017-12-04,8441
2017-12-11,2941
2017-12-18,17444
2017-12-25,5811
2018-01-01,7580
2018-01-08,5481
2018-01-15,5621
2018-01-22,8954
2018-01-29,21540
2018-02-05,35418
2018-02-12,11407
2018-02-19,9545
2018-02-26,16187
2018-03-05,11921
2018-03-12,17216
2018-03-19,16089
2018-03-26,23807
2018-04-02,14481
2018-04-09,16887
2018-04-16,13247
2018-04-23,13602
2018-04-30,11923
2018-05-07,13279
2018-05-14,8254
2018-05-21,13964
2018-05-28,8245
2018-06-04,31256
2018-06-11,17157
2018-06-18,17868
2018-06-25,11606
2018-07-02,11590
2018-07-09,10129
2018-07-16,12968
2018-07-23,19059
2018-07-30,13729
2018-08-06,14456
2018-08-13,13319
2018-08-20,12299
2018-08-27,16843
2018-09-03,17261
2018-09-10,12518
2018-09-17,16257
2018-09-24,15890
2018-10-01,768
2018-10-08,792
2018-10-15,552
2018-10-22,726
2018-10-29,591
2018-11-05,469
2018-11-12,517
2018-11-19,407
2018-11-26,401
2018-12-03,479
2018-12-10,415
2018-12-17,457
2018-12-24,441
2018-12-31,430
2019-01-07,385
2019-01-14,485
2019-01-21,367
2019-01-28,503
2019-02-04,481
2019-02-11,7191
2019-02-18,11732
2019-02-25,10602
2019-03-04,8854
2019-03-11,5935
2019-03-18,14854
2019-03-25,8215
2019-04-01,53015
2019-04-08,6884
2019-04-15,6186
2019-04-22,8203
2019-04-29,14319
2019-05-06,6272
2019-05-13,7637
2019-05-20,37323
2019-05-27,41753
2019-06-03,41588
2019-06-10,21993
2019-06-17,26393
2019-06-24,88092
2019-07-01,49519
2019-07-08,30278
2019-07-15,34626
2019-07-22,84616
2019-07-29,25416
2019-08-05,44116
2019-08-12,72519
2019-08-19,53488
2019-08-26,23308
2019-09-02,26286
2019-09-09,25251
2019-09-16,27889
2019-09-23,29424
2019-09-30,27671
2019-10-07,27876
2019-10-14,31128
2019-10-21,35214
2019-10-28,43533
2019-11-04,61277
2019-11-11,756
2019-11-18,1068
2019-11-25,607
2019-12-02,694
2019-12-09,651
2019-12-16,626
2019-12-23,512
2019-12-30,18819
2020-01-06,929
2020-01-13,1175
2020-01-20,1203
2020-01-27,2369
2020-02-03,1849
2020-02-10,1947
2020-02-17,3062
2020-02-24,2789
2020-03-02,2328
2020-03-09,4393
2020-03-16,11356
2020-03-23,10789
2020-03-30,10053
2020-04-06,25104
2020-04-13,120270
2020-04-20,4419
2020-04-27,2755
2020-05-04,3200
2020-05-11,2880
2020-05-18,2281
2020-05-25,2185
2020-06-01,2404
2020-06-08,45109
2020-06-15,7039
2020-06-22,5806
2020-06-29,7166
2020-07-06,3486
2020-07-13,15528
2020-07-20,32437
2020-07-27,1466
2020-08-03,1693
2020-08-10,1563
2020-08-17,1500
2020-08-24,1683
2020-08-31,2475
2020-09-07,7189
2020-09-14,2749
2020-09-21,1345
2020-09-28,1415
2020-10-05,1274
2020-10-12,1433
2020-10-19,1351
2020-10-26,1378
2020-11-02,794
2020-11-09,4765
2020-11-16,26918
2020-11-23,5433
2020-11-30,4357
2020-12-07,1791
2020-12-14,4738
2020-12-21,1488
2020-12-28,1126
2021-01-04,1805
2021-01-11,9294
2021-01-18,7503
2021-01-25,746092
2021-02-01,2906766
2021-02-08,25047
2021-02-15,4742
2021-02-22,520198
2021-03-01,184452
2021-03-08,12401
2021-03-15,2635
2021-03-22,284
2021-03-29,3100
2021-04-05,2222
2021-04-12,2126
2021-04-19,2130
2021-04-26,2389
