date,change,Neg_Count,Pos_Count,Sent_Count,favorites,Count,pos_neg,pos,neg,flat,job_change,growthgap,negcount1day,poscount1day,sentcount1day,favcount1day,econcount21day,job_change1day,growthgap1day,change1day,negcount2day,poscount2day,sentcount2day,favcount2day,econcount22day,job_change2day,growthgap2day,change2day,negcount3day,poscount3day,sentcount3day,favcount3day,econcount23day,job_change3day,growthgap3day,change3day,negcount4day,poscount4day,sentcount4day,favcount4day,econcount24day,job_change4day,growthgap4day,change4day,negcount5day,poscount5day,sentcount5day,favcount5day,econcount25day,job_change5day,growthgap5day,change5day,negcount6day,poscount6day,sentcount6day,favcount6day,econcount26day,job_change6day,growthgap6day,change6day,negcount7day,poscount7day,sentcount7day,favcount7day,econcount27day,job_change7day,growthgap7day,change7day,negcount8day,poscount8day,sentcount8day,favcount8day,econcount28day,job_change8day,growthgap8day,change8day,negcount9day,poscount9day,sentcount9day,favcount9day,econcount29day,job_change9day,growthgap9day,change9day,negcount10day,poscount10day,sentcount10day,favcount10day,econcount210day,job_change10day,growthgap10day,change10day,negcount11day,poscount11day,sentcount11day,favcount11day,econcount211day,job_change11day,growthgap11day,change11day,negcount12day,poscount12day,sentcount12day,favcount12day,econcount212day,job_change12day,growthgap12day,change12day,negcount13day,poscount13day,sentcount13day,favcount13day,econcount213day,job_change13day,growthgap13day,change13day,negcount14day,poscount14day,sentcount14day,favcount14day,econcount214day,job_change14day,growthgap14day,change14day,negcount15day,poscount15day,sentcount15day,favcount15day,econcount215day,job_change15day,growthgap15day,change15day
2016-01-04,0.0026435233677490205,30,28,-2,224,22,1,1,0,0,237.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-05,-0.00019860973187682245,27,19,-8,156,13,0,0,0,1,237.0,-0.5,30.0,28.0,-2.0,224.0,22.0,237.0,-0.5,0.0026435233677490205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06,0.002420086719774074,62,39,-23,664,48,1,1,0,0,237.0,-0.5,27.0,19.0,-8.0,156.0,13.0,237.0,-0.5,-0.00019860973187682245,30.0,28.0,-2.0,224.0,22.0,237.0,-0.5,0.0026435233677490205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-07,-0.00655301285004864,84,79,-5,605,45,0,0,1,0,237.0,-0.5,62.0,39.0,-23.0,664.0,48.0,237.0,-0.5,0.002420086719774074,27.0,19.0,-8.0,156.0,13.0,237.0,-0.5,-0.00019860973187682245,30.0,28.0,-2.0,224.0,22.0,237.0,-0.5,0.0026435233677490205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,-0.016752907423536096,76,75,-1,206,36,0,0,1,0,273.0,-0.5,84.0,79.0,-5.0,605.0,45.0,237.0,-0.5,-0.00655301285004864,62.0,39.0,-23.0,664.0,48.0,237.0,-0.5,0.002420086719774074,27.0,19.0,-8.0,156.0,13.0,237.0,-0.5,-0.00019860973187682245,30.0,28.0,-2.0,224.0,22.0,237.0,-0.5,0.0026435233677490205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-11,-0.004662970830526797,26,25,-1,169,21,0,0,1,0,273.0,-0.5,76.0,75.0,-1.0,206.0,36.0,273.0,-0.5,-0.016752907423536096,84.0,79.0,-5.0,605.0,45.0,237.0,-0.5,-0.00655301285004864,62.0,39.0,-23.0,664.0,48.0,237.0,-0.5,0.002420086719774074,27.0,19.0,-8.0,156.0,13.0,237.0,-0.5,-0.00019860973187682245,30.0,28.0,-2.0,224.0,22.0,237.0,-0.5,0.0026435233677490205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12,-0.0008255082034877546,43,45,2,661,36,0,0,0,1,273.0,-0.5,26.0,25.0,-1.0,169.0,21.0,273.0,-0.5,-0.004662970830526797,76.0,75.0,-1.0,206.0,36.0,273.0,-0.5,-0.016752907423536096,84.0,79.0,-5.0,605.0,45.0,237.0,-0.5,-0.00655301285004864,62.0,39.0,-23.0,664.0,48.0,237.0,-0.5,0.002420086719774074,27.0,19.0,-8.0,156.0,13.0,237.0,-0.5,-0.00019860973187682245,30.0,28.0,-2.0,224.0,22.0,237.0,-0.5,0.0026435233677490205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-13,-0.02890203137053215,24,32,8,288,32,0,0,1,0,273.0,-0.5,43.0,45.0,2.0,661.0,36.0,273.0,-0.5,-0.0008255082034877546,26.0,25.0,-1.0,169.0,21.0,273.0,-0.5,-0.004662970830526797,76.0,75.0,-1.0,206.0,36.0,273.0,-0.5,-0.016752907423536096,84.0,79.0,-5.0,605.0,45.0,237.0,-0.5,-0.00655301285004864,62.0,39.0,-23.0,664.0,48.0,237.0,-0.5,0.002420086719774074,27.0,19.0,-8.0,156.0,13.0,237.0,-0.5,-0.00019860973187682245,30.0,28.0,-2.0,224.0,22.0,237.0,-0.5,0.0026435233677490205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-14,0.012556053811659168,32,40,8,283,25,1,1,0,0,273.0,-0.5,24.0,32.0,8.0,288.0,32.0,273.0,-0.5,-0.02890203137053215,43.0,45.0,2.0,661.0,36.0,273.0,-0.5,-0.0008255082034877546,26.0,25.0,-1.0,169.0,21.0,273.0,-0.5,-0.004662970830526797,76.0,75.0,-1.0,206.0,36.0,273.0,-0.5,-0.016752907423536096,84.0,79.0,-5.0,605.0,45.0,237.0,-0.5,-0.00655301285004864,62.0,39.0,-23.0,664.0,48.0,237.0,-0.5,0.002420086719774074,27.0,19.0,-8.0,156.0,13.0,237.0,-0.5,-0.00019860973187682245,30.0,28.0,-2.0,224.0,22.0,237.0,-0.5,0.0026435233677490205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,0.005568346094126423,75,52,-23,710,42,1,1,0,0,273.0,-0.5,32.0,40.0,8.0,283.0,25.0,273.0,-0.5,0.012556053811659168,24.0,32.0,8.0,288.0,32.0,273.0,-0.5,-0.02890203137053215,43.0,45.0,2.0,661.0,36.0,273.0,-0.5,-0.0008255082034877546,26.0,25.0,-1.0,169.0,21.0,273.0,-0.5,-0.004662970830526797,76.0,75.0,-1.0,206.0,36.0,273.0,-0.5,-0.016752907423536096,84.0,79.0,-5.0,605.0,45.0,237.0,-0.5,-0.00655301285004864,62.0,39.0,-23.0,664.0,48.0,237.0,-0.5,0.002420086719774074,27.0,19.0,-8.0,156.0,13.0,237.0,-0.5,-0.00019860973187682245,30.0,28.0,-2.0,224.0,22.0,237.0,-0.5,0.0026435233677490205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
