Date,Neg_Count,Pos_Count,favorites,Count,growthgap,job_change,negcount1day,poscount1day,favcount1day,econcount1day,change1day
2016-01-26,72,72,500,16,-0.5,273.0,15.0,26.0,563.0,8.0,-0.012005054759898912
2016-01-27,36,42,337,18,-0.5,273.0,72.0,72.0,500.0,16.0,0.009446980150727105
2016-01-28,33,42,608,14,-0.5,273.0,36.0,42.0,337.0,18.0,-0.0076484861272287
2016-01-29,33,30,157,14,-0.1,273.0,33.0,42.0,608.0,14.0,-0.004474626237102518
2016-02-01,24,23,276,8,-0.1,273.0,33.0,30.0,157.0,14.0,0.019471634564782597
2016-02-02,26,33,264,15,-0.1,273.0,24.0,23.0,276.0,8.0,0.005817275229834335
2016-02-03,32,46,433,14,-0.1,273.0,26.0,33.0,264.0,15.0,-0.009376953531985891
2016-02-04,19,25,177,10,-0.1,273.0,32.0,46.0,433.0,14.0,-0.000574682618462908
2016-02-05,39,47,501,15,-0.1,108.0,19.0,25.0,177.0,10.0,0.004666771537937111
2016-02-08,40,36,502,12,-0.1,108.0,39.0,47.0,501.0,15.0,-0.01591706372061375
2016-02-09,49,52,757,21,-0.1,108.0,40.0,36.0,502.0,12.0,-0.001884050169564637
2016-02-10,35,47,352,13,-0.1,108.0,49.0,52.0,757.0,21.0,0.011289267015706768
2016-02-11,61,57,259,18,-0.1,108.0,35.0,47.0,352.0,13.0,-0.006115551740786366
2016-02-12,42,58,381,16,-0.1,108.0,61.0,57.0,259.0,18.0,0.0028518152901174194
2016-02-16,54,48,687,24,-0.1,108.0,42.0,58.0,381.0,16.0,0.009028979238754255
2016-02-17,26,37,356,14,-0.1,108.0,54.0,48.0,687.0,24.0,0.005350426444879965
2016-02-18,42,53,313,7,-0.1,108.0,26.0,37.0,356.0,14.0,0.008997698263234979
2016-02-19,35,59,509,24,-0.1,108.0,42.0,53.0,313.0,7.0,-0.005745341614906756
2016-02-22,28,32,198,15,-0.1,108.0,35.0,59.0,509.0,24.0,0.0043416854108908965
2016-02-23,11,13,138,6,-0.1,108.0,28.0,32.0,198.0,15.0,0.0046938670242946115
2016-02-24,20,35,637,13,-0.1,108.0,11.0,13.0,138.0,6.0,-0.008659793814433025
2016-02-25,48,65,308,17,-0.1,108.0,20.0,35.0,637.0,13.0,0.01348161359702037
2016-02-26,27,31,536,21,-0.4,108.0,48.0,65.0,308.0,17.0,0.009342899912249021
2016-02-29,29,32,181,7,-0.4,108.0,27.0,31.0,536.0,21.0,-0.007529124484916262
2016-03-01,24,40,336,6,-0.4,108.0,29.0,32.0,181.0,7.0,-0.007944236584490857
2016-03-02,34,62,755,39,-0.4,108.0,24.0,40.0,336.0,6.0,0.015896620686118777
2016-03-03,89,83,451,23,-0.4,108.0,34.0,62.0,755.0,39.0,0.006372003641144893
2016-03-04,70,68,511,24,-0.4,212.0,89.0,83.0,451.0,23.0,0.0049801297852005095
2016-03-07,48,49,380,22,-0.4,212.0,70.0,68.0,511.0,24.0,0.002099895005249817
2016-03-08,33,30,250,17,-0.4,212.0,48.0,49.0,380.0,22.0,0.0062706932878499036
2016-03-09,46,52,589,20,-0.4,212.0,33.0,30.0,250.0,17.0,-0.004615693357415149
2016-03-10,16,23,289,8,-0.4,212.0,46.0,52.0,589.0,20.0,0.00010032102728722816
2016-03-11,15,23,218,9,-0.4,212.0,16.0,23.0,289.0,8.0,-0.002100420084016883
2016-03-14,31,27,444,10,-0.4,212.0,15.0,23.0,218.0,9.0,0.0074530458113882545
2016-03-15,34,49,355,10,-0.4,212.0,31.0,27.0,444.0,10.0,0.0016818361693708122
2016-03-16,42,34,571,9,-0.4,212.0,34.0,49.0,355.0,10.0,0.004022646007151241
2016-03-17,55,77,1058,11,-0.4,212.0,42.0,34.0,571.0,9.0,0.008630952380952427
2016-03-18,54,54,387,15,-0.4,212.0,55.0,77.0,1058.0,11.0,0.0068392048809288826
2016-03-21,30,45,242,16,-0.4,212.0,54.0,54.0,387.0,15.0,0.0010285546358427189
2016-03-22,57,77,498,16,-0.4,212.0,30.0,45.0,242.0,16.0,0.002940167589552577
2016-03-23,58,70,947,8,-0.4,212.0,57.0,77.0,498.0,16.0,0.003926187671770767
2016-03-24,70,50,474,12,-0.8,212.0,58.0,70.0,947.0,8.0,-0.004409387095193795
2016-03-28,41,63,701,10,-0.8,212.0,70.0,50.0,474.0,12.0,0.005544554455445567
2016-03-29,42,97,655,20,-0.8,212.0,41.0,63.0,701.0,10.0,-0.0018171995481558105
2016-03-30,69,64,534,19,-0.8,212.0,42.0,97.0,655.0,20.0,0.01163937660288032
2016-03-31,80,72,618,22,-0.8,212.0,69.0,64.0,534.0,19.0,-0.0013572467280659286
2016-04-01,62,115,697,20,-0.8,237.0,80.0,72.0,618.0,22.0,-0.0018940313729298548
2016-04-04,41,64,728,15,-0.8,237.0,62.0,115.0,697.0,20.0,0.012576461952532387
2016-04-05,58,84,526,33,-0.8,237.0,41.0,64.0,728.0,15.0,-0.0028042353623749573
2016-04-06,46,67,505,9,-0.8,237.0,58.0,84.0,526.0,33.0,-0.0023452386768944627
2016-04-07,37,56,662,15,-0.8,237.0,46.0,67.0,505.0,9.0,0.010921200842352659
2016-04-08,38,57,629,10,-0.8,237.0,37.0,56.0,662.0,15.0,-0.005800916447304271
2016-04-11,97,116,453,30,-0.8,237.0,38.0,57.0,629.0,10.0,-0.00409077627349763
2016-04-12,69,108,860,40,-0.8,237.0,97.0,116.0,453.0,30.0,-0.005992691839220413
2016-04-13,68,83,834,30,-0.8,237.0,69.0,108.0,860.0,40.0,0.008324356086573248
2016-04-14,43,51,440,21,-0.8,237.0,68.0,83.0,834.0,30.0,0.004830917874396135
2016-04-15,50,49,433,13,-0.8,237.0,43.0,51.0,440.0,21.0,-0.00028836449271880753
2016-04-18,59,90,657,17,-0.8,237.0,50.0,49.0,433.0,13.0,-0.001105716071342675
2016-04-19,102,80,593,17,-0.8,237.0,59.0,90.0,657.0,17.0,0.007026662816440504
2016-04-20,83,90,521,26,-0.8,237.0,102.0,80.0,593.0,17.0,0.0007628492419185497
2016-04-21,69,73,574,31,-0.8,237.0,83.0,90.0,521.0,26.0,0.000714455822814983
2016-04-22,43,54,549,17,-0.8,237.0,69.0,73.0,574.0,31.0,-0.005473063011612439
2016-04-25,45,53,637,16,-0.8,237.0,43.0,54.0,549.0,17.0,0.0020139055382401697
2016-04-26,56,83,1063,24,-0.8,237.0,45.0,53.0,637.0,16.0,0.0016805915682321267
2016-04-27,37,52,487,14,-0.8,237.0,56.0,83.0,1063.0,24.0,-0.0005740528128588048
2016-04-28,38,43,1031,12,1.8,237.0,37.0,52.0,487.0,14.0,0.0042212308725475866
2016-04-29,58,62,566,20,1.8,237.0,38.0,43.0,1031.0,12.0,-0.004845054207042211
2016-05-02,23,43,825,10,1.8,237.0,58.0,62.0,566.0,20.0,-0.001886609907120677
2016-05-03,58,77,891,19,1.8,237.0,23.0,43.0,825.0,10.0,0.005074424898511557
2016-05-04,17,43,473,8,1.8,237.0,58.0,77.0,891.0,19.0,-0.0017431725740849006
2016-05-05,47,79,472,14,1.8,237.0,17.0,43.0,473.0,8.0,9.75657349138095e-05
2016-05-06,49,65,772,25,1.8,197.0,47.0,79.0,472.0,14.0,-0.002870208211714358
2016-05-09,17,36,449,8,1.8,197.0,49.0,65.0,772.0,25.0,0.008134862295403295
2016-05-10,34,57,406,6,1.8,197.0,17.0,36.0,449.0,8.0,0.001556647370725267
2016-05-11,40,68,436,15,1.8,197.0,34.0,57.0,406.0,6.0,0.008368808049535555
2016-05-12,40,50,1007,12,1.8,197.0,40.0,68.0,436.0,15.0,-0.006781780578134754
2016-05-13,57,75,446,15,1.8,197.0,40.0,50.0,1007.0,12.0,-0.0035216363548651155
2016-05-16,29,45,411,8,1.8,197.0,57.0,75.0,446.0,15.0,-0.007031666747490505
2016-05-17,55,78,1716,13,1.8,197.0,29.0,45.0,411.0,8.0,0.008879781420764994
2016-05-18,55,47,420,8,1.8,197.0,55.0,78.0,1716.0,13.0,-0.007798120701346573
2016-05-19,32,31,868,7,1.8,197.0,55.0,47.0,420.0,8.0,0.002298963020935232
2016-05-20,33,51,713,13,1.8,197.0,32.0,31.0,868.0,7.0,0.0006860727237086463
2016-05-23,34,61,769,3,1.8,197.0,33.0,51.0,713.0,13.0,0.002781573296896455
2016-05-24,65,56,487,13,1.8,197.0,34.0,61.0,769.0,3.0,-0.001459782978930383
2016-05-25,53,55,482,15,1.8,197.0,65.0,56.0,487.0,13.0,0.008245622544502194
2016-05-26,41,73,401,21,1.8,197.0,53.0,55.0,482.0,15.0,0.002923275986006679
2016-05-27,77,71,1087,27,1.5,197.0,41.0,73.0,401.0,21.0,-0.0004774637127578033
2016-05-31,40,54,800,9,1.5,197.0,77.0,71.0,1087.0,27.0,0.003388536247792717
2016-06-01,32,62,910,16,1.5,197.0,40.0,54.0,800.0,9.0,-0.0034194528875379888
2016-06-02,40,33,740,2,1.5,197.0,32.0,62.0,910.0,16.0,0.005499234889058941
2016-06-03,13,15,540,9,1.5,41.0,40.0,33.0,740.0,2.0,0.005290753098188682
2016-06-06,40,42,456,17,1.5,41.0,13.0,15.0,540.0,9.0,0.000142687277051135
2016-06-07,57,135,654,12,1.5,41.0,40.0,42.0,456.0,17.0,0.0030849549121974643
2016-06-08,40,57,492,8,1.5,41.0,57.0,135.0,654.0,12.0,0.0007091192738618903
2016-06-09,96,96,469,17,1.5,41.0,40.0,57.0,492.0,8.0,0.0025018882175226642
2016-06-10,16,24,275,8,1.5,41.0,96.0,96.0,469.0,17.0,0.0026949080421730487
2016-06-13,34,60,297,5,1.5,41.0,16.0,24.0,275.0,8.0,-0.0018530837213723023
2016-06-14,36,35,786,9,1.5,41.0,34.0,60.0,297.0,5.0,-0.004346580053496489
