Date,Sent_Count
2016-01-01,17
2016-01-02,0
2016-01-03,30
2016-01-04,-2
2016-01-05,-8
2016-01-06,-23
2016-01-07,-5
2016-01-08,-1
2016-01-09,-9
2016-01-10,15
2016-01-11,-1
2016-01-12,2
2016-01-13,8
2016-01-14,8
2016-01-15,-23
2016-01-16,17
2016-01-17,14
2016-01-18,-17
2016-01-19,12
2016-01-20,12
2016-01-21,15
2016-01-22,37
2016-01-23,9
2016-01-24,13
2016-01-25,11
2016-01-26,0
2016-01-27,6
2016-01-28,9
2016-01-29,-3
2016-01-30,3
2016-01-31,6
2016-02-01,-1
2016-02-02,7
2016-02-03,14
2016-02-04,6
2016-02-05,8
2016-02-06,-4
2016-02-07,-3
2016-02-08,-4
2016-02-09,3
2016-02-10,12
2016-02-11,-4
2016-02-12,16
2016-02-13,-1
2016-02-14,-2
2016-02-15,4
2016-02-16,-6
2016-02-17,11
2016-02-18,11
2016-02-19,24
2016-02-20,2
2016-02-21,-18
2016-02-22,4
2016-02-23,2
2016-02-24,15
2016-02-25,17
2016-02-26,4
2016-02-27,0
2016-02-28,2
2016-02-29,3
2016-03-01,16
2016-03-02,28
2016-03-03,-6
2016-03-04,-2
2016-03-05,11
2016-03-06,2
2016-03-07,1
2016-03-08,-3
2016-03-09,6
2016-03-10,7
2016-03-11,8
2016-03-12,3
2016-03-13,13
2016-03-14,-4
2016-03-15,15
2016-03-16,-8
2016-03-17,22
2016-03-18,0
2016-03-19,6
2016-03-20,28
2016-03-21,15
2016-03-22,20
2016-03-23,12
2016-03-24,-20
2016-03-25,0
2016-03-26,2
2016-03-27,18
2016-03-28,22
2016-03-29,55
2016-03-30,-5
2016-03-31,-8
2016-04-01,53
2016-04-02,8
2016-04-03,4
2016-04-04,23
2016-04-05,26
2016-04-06,21
2016-04-07,19
2016-04-08,19
2016-04-09,7
2016-04-10,1
2016-04-11,19
2016-04-12,39
2016-04-13,15
2016-04-14,8
2016-04-15,-1
2016-04-16,0
2016-04-17,5
2016-04-18,31
2016-04-19,-22
2016-04-20,7
2016-04-21,4
2016-04-22,11
2016-04-23,7
2016-04-24,11
2016-04-25,8
2016-04-26,27
2016-04-27,15
2016-04-28,5
2016-04-29,4
2016-04-30,4
2016-05-01,2
2016-05-02,20
2016-05-03,19
2016-05-04,26
2016-05-05,32
2016-05-06,16
2016-05-07,2
2016-05-08,-9
2016-05-09,19
2016-05-10,23
2016-05-11,28
2016-05-12,10
2016-05-13,18
2016-05-14,10
2016-05-15,6
2016-05-16,16
2016-05-17,23
2016-05-18,-8
2016-05-19,-1
2016-05-20,18
2016-05-21,7
2016-05-22,4
2016-05-23,27
2016-05-24,-9
2016-05-25,2
2016-05-26,32
2016-05-27,-6
2016-05-28,6
2016-05-29,5
2016-05-30,30
2016-05-31,14
2016-06-01,30
2016-06-02,-7
2016-06-03,2
2016-06-04,3
2016-06-05,12
2016-06-06,2
2016-06-07,78
2016-06-08,17
2016-06-09,0
2016-06-10,8
2016-06-11,-2
2016-06-12,-2
2016-06-13,26
2016-06-14,-1
2016-06-15,11
