Date,Neg_Count
2016-01-01,6
2016-01-02,2
2016-01-03,58
2016-01-04,30
2016-01-05,27
2016-01-06,62
2016-01-07,84
2016-01-08,76
2016-01-09,18
2016-01-10,2
2016-01-11,26
2016-01-12,43
2016-01-13,24
2016-01-14,32
2016-01-15,75
2016-01-16,32
2016-01-17,26
2016-01-18,76
2016-01-19,52
2016-01-20,66
2016-01-21,62
2016-01-22,65
2016-01-23,13
2016-01-24,8
2016-01-25,15
2016-01-26,72
2016-01-27,36
2016-01-28,33
2016-01-29,33
2016-01-30,11
2016-01-31,40
2016-02-01,24
2016-02-02,26
2016-02-03,32
2016-02-04,19
2016-02-05,39
2016-02-06,42
2016-02-07,16
2016-02-08,40
2016-02-09,49
2016-02-10,35
2016-02-11,61
2016-02-12,42
2016-02-13,13
2016-02-14,13
2016-02-15,5
2016-02-16,54
2016-02-17,26
2016-02-18,42
2016-02-19,35
2016-02-20,8
2016-02-21,33
2016-02-22,28
2016-02-23,11
2016-02-24,20
2016-02-25,48
2016-02-26,27
2016-02-27,25
2016-02-28,11
2016-02-29,29
2016-03-01,24
2016-03-02,34
2016-03-03,89
2016-03-04,70
2016-03-05,4
2016-03-06,4
2016-03-07,48
2016-03-08,33
2016-03-09,46
2016-03-10,16
2016-03-11,15
2016-03-12,4
2016-03-13,48
2016-03-14,31
2016-03-15,34
2016-03-16,42
2016-03-17,55
2016-03-18,54
2016-03-19,9
2016-03-20,61
2016-03-21,30
2016-03-22,57
2016-03-23,58
2016-03-24,70
2016-03-25,38
2016-03-26,2
2016-03-27,6
2016-03-28,41
2016-03-29,42
2016-03-30,69
2016-03-31,80
2016-04-01,62
2016-04-02,19
2016-04-03,14
2016-04-04,41
2016-04-05,58
2016-04-06,46
2016-04-07,37
2016-04-08,38
2016-04-09,42
2016-04-10,35
2016-04-11,97
2016-04-12,69
2016-04-13,68
2016-04-14,43
2016-04-15,50
2016-04-16,45
2016-04-17,9
2016-04-18,59
2016-04-19,102
2016-04-20,83
2016-04-21,69
2016-04-22,43
2016-04-23,23
2016-04-24,15
2016-04-25,45
2016-04-26,56
2016-04-27,37
2016-04-28,38
2016-04-29,58
2016-04-30,20
2016-05-01,24
2016-05-02,23
2016-05-03,58
2016-05-04,17
2016-05-05,47
2016-05-06,49
2016-05-07,15
2016-05-08,27
2016-05-09,17
2016-05-10,34
2016-05-11,40
2016-05-12,40
2016-05-13,57
2016-05-14,19
2016-05-15,4
2016-05-16,29
2016-05-17,55
2016-05-18,55
2016-05-19,32
2016-05-20,33
2016-05-21,43
2016-05-22,7
2016-05-23,34
2016-05-24,65
2016-05-25,53
2016-05-26,41
2016-05-27,77
2016-05-28,11
2016-05-29,16
2016-05-30,12
2016-05-31,40
2016-06-01,32
2016-06-02,40
2016-06-03,13
2016-06-04,7
2016-06-05,2
2016-06-06,40
