Date,Pos_Count
2016-01-01,23
2016-01-02,2
2016-01-03,88
2016-01-04,28
2016-01-05,19
2016-01-06,39
2016-01-07,79
2016-01-08,75
2016-01-09,9
2016-01-10,17
2016-01-11,25
2016-01-12,45
2016-01-13,32
2016-01-14,40
2016-01-15,52
2016-01-16,49
2016-01-17,40
2016-01-18,59
2016-01-19,64
2016-01-20,78
2016-01-21,77
2016-01-22,102
2016-01-23,22
2016-01-24,21
2016-01-25,26
2016-01-26,72
2016-01-27,42
2016-01-28,42
2016-01-29,30
2016-01-30,14
2016-01-31,46
2016-02-01,23
2016-02-02,33
2016-02-03,46
2016-02-04,25
2016-02-05,47
2016-02-06,38
2016-02-07,13
2016-02-08,36
2016-02-09,52
2016-02-10,47
2016-02-11,57
2016-02-12,58
2016-02-13,12
2016-02-14,11
2016-02-15,9
2016-02-16,48
2016-02-17,37
2016-02-18,53
2016-02-19,59
2016-02-20,10
2016-02-21,15
2016-02-22,32
2016-02-23,13
2016-02-24,35
2016-02-25,65
2016-02-26,31
2016-02-27,25
2016-02-28,13
2016-02-29,32
2016-03-01,40
2016-03-02,62
2016-03-03,83
2016-03-04,68
2016-03-05,15
2016-03-06,6
2016-03-07,49
2016-03-08,30
2016-03-09,52
2016-03-10,23
2016-03-11,23
2016-03-12,7
2016-03-13,61
2016-03-14,27
2016-03-15,49
2016-03-16,34
2016-03-17,77
2016-03-18,54
2016-03-19,15
2016-03-20,89
2016-03-21,45
2016-03-22,77
2016-03-23,70
2016-03-24,50
2016-03-25,38
2016-03-26,4
2016-03-27,24
2016-03-28,63
2016-03-29,97
2016-03-30,64
2016-03-31,72
2016-04-01,115
2016-04-02,27
2016-04-03,18
2016-04-04,64
2016-04-05,84
2016-04-06,67
2016-04-07,56
2016-04-08,57
2016-04-09,49
2016-04-10,36
2016-04-11,116
2016-04-12,108
2016-04-13,83
2016-04-14,51
2016-04-15,49
2016-04-16,45
2016-04-17,14
2016-04-18,90
2016-04-19,80
2016-04-20,90
2016-04-21,73
2016-04-22,54
2016-04-23,30
2016-04-24,26
2016-04-25,53
2016-04-26,83
2016-04-27,52
2016-04-28,43
2016-04-29,62
2016-04-30,24
2016-05-01,26
2016-05-02,43
2016-05-03,77
2016-05-04,43
2016-05-05,79
2016-05-06,65
2016-05-07,17
2016-05-08,18
2016-05-09,36
2016-05-10,57
2016-05-11,68
2016-05-12,50
2016-05-13,75
2016-05-14,29
2016-05-15,10
2016-05-16,45
2016-05-17,78
2016-05-18,47
2016-05-19,31
2016-05-20,51
2016-05-21,50
2016-05-22,11
2016-05-23,61
2016-05-24,56
2016-05-25,55
2016-05-26,73
2016-05-27,71
2016-05-28,17
2016-05-29,21
2016-05-30,42
2016-05-31,54
2016-06-01,62
2016-06-02,33
2016-06-03,15
2016-06-04,10
2016-06-05,14
2016-06-06,42
2016-06-07,135
2016-06-08,57
2016-06-09,96
2016-06-10,24
2016-06-11,11
2016-06-12,28
2016-06-13,60
2016-06-14,35
2016-06-15,33
2016-06-16,48
2016-06-17,69
