Week,Sent_Count
2021-04-26,2011
2021-04-19,1628
2021-04-12,1048
2021-04-05,1592
2021-03-29,1692
2021-03-22,171
2021-03-15,1601
2021-03-08,4498
2021-03-01,1619
2021-02-22,1658
2021-02-15,2333
2021-02-08,1692
2021-02-01,-311
2021-01-25,-1315
2021-01-18,3255
2021-01-11,2474
2021-01-04,1598
2020-12-28,1659
2020-12-21,1477
2020-12-14,1225
2020-12-07,2152
2020-11-30,2044
2020-11-23,2913
2020-11-16,1021
2020-11-09,790
2020-11-02,221
2020-10-26,470
2020-10-19,776
2020-10-12,894
2020-10-05,691
2020-09-28,640
2020-09-21,197
2020-09-14,591
2020-09-07,246
2020-08-31,975
2020-08-24,1189
2020-08-17,972
2020-08-10,1177
2020-08-03,1445
2020-07-27,499
2020-07-20,555
2020-07-13,555
2020-07-06,564
2020-06-29,411
2020-06-22,109
2020-06-15,143
2020-06-08,229
2020-06-01,459
2020-05-25,460
2020-05-18,787
2020-05-11,645
2020-05-04,397
2020-04-27,-168
2020-04-20,-207
2020-04-13,-400
2020-04-06,-836
2020-03-30,-1107
2020-03-23,-906
2020-03-16,-1249
2020-03-09,-1621
2020-03-02,-487
2020-02-24,-436
2020-02-17,657
2020-02-10,783
2020-02-03,496
2020-01-27,76
2020-01-20,376
2020-01-13,531
2020-01-06,167
2019-12-30,135
2019-12-23,152
2019-12-16,167
2019-12-09,76
2019-12-02,179
2019-11-25,268
2019-11-18,234
2019-11-11,137
2019-11-04,-23
2019-10-28,309
2019-10-21,274
2019-10-14,162
2019-10-07,-28
2019-09-30,-76
2019-09-23,24
2019-09-16,77
2019-09-09,23
2019-09-02,98
2019-08-26,101
2019-08-19,43
2019-08-12,-119
2019-08-05,-48
2019-07-29,-7
2019-07-22,172
2019-07-15,226
2019-07-08,-17
2019-07-01,91
2019-06-24,84
2019-06-17,131
2019-06-10,137
2019-06-03,148
2019-05-27,-28
2019-05-20,26
2019-05-13,38
2019-05-06,153
2019-04-29,108
2019-04-22,245
2019-04-15,245
2019-04-08,43
2019-04-01,213
2019-03-25,67
2019-03-18,164
2019-03-11,-46
2019-03-04,122
2019-02-25,32
2019-02-18,4
2019-02-11,100
2019-02-04,182
2019-01-28,-5
2019-01-21,62
2019-01-14,-53
2019-01-07,24
2018-12-31,-51
2018-12-24,-55
2018-12-17,-95
2018-12-10,-23
2018-12-03,-25
2018-11-26,29
2018-11-19,-10
2018-11-12,-22
2018-11-05,102
2018-10-29,39
2018-10-22,96
2018-10-15,91
2018-10-08,35
2018-10-01,141
2018-09-24,39
2018-09-17,218
2018-09-10,230
2018-09-03,153
2018-08-27,257
2018-08-20,214
2018-08-13,102
2018-08-06,183
2018-07-30,136
2018-07-23,149
2018-07-16,221
2018-07-09,179
2018-07-02,110
2018-06-25,51
2018-06-18,82
2018-06-11,176
2018-06-04,173
2018-05-28,54
2018-05-21,106
2018-05-14,129
2018-05-07,169
2018-04-30,49
2018-04-23,64
2018-04-16,28
2018-04-09,21
2018-04-02,30
2018-03-26,49
2018-03-19,-56
2018-03-12,-4
2018-03-05,64
2018-02-26,35
2018-02-19,30
2018-02-12,111
2018-02-05,-71
2018-01-29,90
2018-01-22,102
2018-01-15,2
2018-01-08,71
2018-01-01,112
2017-12-25,43
2017-12-18,104
2017-12-11,27
2017-12-04,16
2017-11-27,26
2017-11-20,69
2017-11-13,9
2017-11-06,81
2017-10-30,86
2017-10-23,29
2017-10-16,94
2017-10-09,36
2017-10-02,-8
2017-09-25,45
2017-09-18,54
2017-09-11,12
2017-09-04,30
2017-08-28,57
2017-08-21,83
2017-08-14,50
2017-08-07,48
2017-07-31,103
2017-07-24,147
2017-07-17,81
2017-07-10,104
2017-07-03,10
2017-06-26,52
2017-06-19,117
2017-06-12,56
2017-06-05,-13
2017-05-29,45
2017-05-22,67
2017-05-15,95
2017-05-08,48
2017-05-01,64
2017-04-24,78
2017-04-17,22
2017-04-10,43
2017-04-03,132
2017-03-27,82
2017-03-20,16
2017-03-13,127
2017-03-06,44
2017-02-27,123
2017-02-20,121
2017-02-13,63
2017-02-06,172
2017-01-30,67
2017-01-23,50
2017-01-16,33
2017-01-09,47
2017-01-02,60
2016-12-26,20
2016-12-19,38
2016-12-12,-27
2016-12-05,26
2016-11-28,31
2016-11-21,46
2016-11-14,117
2016-11-07,41
2016-10-31,15
2016-10-24,19
2016-10-17,22
2016-10-10,16
2016-10-03,76
2016-09-26,83
2016-09-19,75
2016-09-12,47
2016-09-05,50
2016-08-29,10
2016-08-22,61
2016-08-15,175
2016-08-08,108
2016-08-01,43
2016-07-25,112
2016-07-18,197
2016-07-11,75
2016-07-04,26
2016-06-27,84
2016-06-20,-9
2016-06-13,45
2016-06-06,101
2016-05-30,84
2016-05-23,57
2016-05-16,59
2016-05-09,114
2016-05-02,106
2016-04-25,65
2016-04-18,49
2016-04-11,85
2016-04-04,116
2016-03-28,129
2016-03-21,47
2016-03-14,59
2016-03-07,35
2016-02-29,52
2016-02-22,44
2016-02-15,28
2016-02-08,20
2016-02-01,27
2016-01-25,32
2016-01-18,81
2016-01-11,25
2016-01-04,-33
2015-12-28,47
