Week,Pos_Count
2021-04-26,4994
2021-04-19,4722
2021-04-12,3801
2021-04-05,4854
2021-03-29,6681
2021-03-22,627
2021-03-15,5636
2021-03-08,16874
2021-03-01,5150
2021-02-22,5784
2021-02-15,9797
2021-02-08,6475
2021-02-01,11094
2021-01-25,35655
2021-01-18,9865
2021-01-11,6660
2021-01-04,4030
2020-12-28,4608
2020-12-21,4244
2020-12-14,3479
2020-12-07,5537
2020-11-30,6040
2020-11-23,6956
2020-11-16,3079
2020-11-09,2639
2020-11-02,1257
2020-10-26,2463
2020-10-19,2792
2020-10-12,3074
2020-10-05,2796
2020-09-28,2265
2020-09-21,2723
2020-09-14,3237
2020-09-07,2717
2020-08-31,4762
2020-08-24,3567
2020-08-17,3310
2020-08-10,3912
2020-08-03,4294
2020-07-27,3347
2020-07-20,2289
2020-07-13,2774
2020-07-06,2979
2020-06-29,2253
2020-06-22,2314
2020-06-15,3557
2020-06-08,2081
2020-06-01,1796
2020-05-25,2880
2020-05-18,3947
2020-05-11,3207
2020-05-04,3828
2020-04-27,3934
2020-04-20,4449
2020-04-13,3659
2020-04-06,4164
2020-03-30,3419
2020-03-23,4356
2020-03-16,5903
2020-03-09,4878
2020-03-02,3902
2020-02-24,4104
2020-02-17,3171
2020-02-10,2754
2020-02-03,2501
2020-01-27,2133
2020-01-20,1842
2020-01-13,1846
2020-01-06,1370
2019-12-30,919
2019-12-23,729
2019-12-16,913
2019-12-09,763
2019-12-02,1258
2019-11-25,975
2019-11-18,1110
2019-11-11,1044
2019-11-04,1224
2019-10-28,1698
2019-10-21,1559
2019-10-14,1051
2019-10-07,851
2019-09-30,774
2019-09-23,944
2019-09-16,1021
2019-09-09,1039
2019-09-02,770
2019-08-26,1166
2019-08-19,1203
2019-08-12,1406
2019-08-05,982
2019-07-29,806
2019-07-22,885
2019-07-15,932
2019-07-08,540
2019-07-01,575
2019-06-24,686
2019-06-17,721
2019-06-10,649
2019-06-03,800
2019-05-27,806
2019-05-20,718
2019-05-13,585
2019-05-06,795
2019-04-29,696
2019-04-22,867
2019-04-15,895
2019-04-08,658
2019-04-01,637
2019-03-25,504
2019-03-18,843
2019-03-11,524
2019-03-04,655
2019-02-25,456
2019-02-18,618
2019-02-11,641
2019-02-04,833
2019-01-28,546
2019-01-21,639
2019-01-14,685
2019-01-07,444
2018-12-31,609
2018-12-24,396
2018-12-17,475
2018-12-10,433
2018-12-03,464
2018-11-26,623
2018-11-19,300
2018-11-12,501
2018-11-05,587
2018-10-29,568
2018-10-22,840
2018-10-15,827
2018-10-08,903
2018-10-01,817
2018-09-24,859
2018-09-17,939
2018-09-10,916
2018-09-03,593
2018-08-27,702
2018-08-20,704
2018-08-13,715
2018-08-06,782
2018-07-30,697
2018-07-23,807
2018-07-16,803
2018-07-09,695
2018-07-02,414
2018-06-25,625
2018-06-18,765
2018-06-11,712
2018-06-04,603
2018-05-28,461
2018-05-21,556
2018-05-14,457
2018-05-07,588
2018-04-30,501
2018-04-23,429
2018-04-16,363
2018-04-09,460
2018-04-02,511
2018-03-26,333
2018-03-19,365
2018-03-12,282
2018-03-05,389
2018-02-26,370
2018-02-19,193
2018-02-12,365
2018-02-05,630
2018-01-29,439
2018-01-22,318
2018-01-15,124
2018-01-08,286
2018-01-01,264
2017-12-25,145
2017-12-18,254
2017-12-11,173
2017-12-04,274
2017-11-27,232
2017-11-20,225
2017-11-13,214
2017-11-06,224
2017-10-30,339
2017-10-23,303
2017-10-16,349
2017-10-09,278
2017-10-02,275
2017-09-25,370
2017-09-18,305
2017-09-11,280
2017-09-04,178
2017-08-28,158
2017-08-21,274
2017-08-14,262
2017-08-07,296
2017-07-31,360
2017-07-24,386
2017-07-17,292
2017-07-10,350
2017-07-03,140
2017-06-26,332
2017-06-19,395
2017-06-12,271
2017-06-05,338
2017-05-29,169
2017-05-22,244
2017-05-15,372
2017-05-08,409
2017-05-01,338
2017-04-24,254
2017-04-17,213
2017-04-10,280
2017-04-03,427
2017-03-27,412
2017-03-20,405
2017-03-13,509
2017-03-06,426
2017-02-27,523
2017-02-20,480
2017-02-13,512
2017-02-06,528
2017-01-30,396
2017-01-23,501
2017-01-16,379
2017-01-09,482
2017-01-02,260
2016-12-26,125
2016-12-19,272
2016-12-12,115
2016-12-05,130
2016-11-28,268
2016-11-21,189
2016-11-14,446
2016-11-07,334
2016-10-31,284
2016-10-24,303
2016-10-17,322
2016-10-10,252
2016-10-03,326
2016-09-26,356
2016-09-19,341
2016-09-12,424
2016-09-05,298
2016-08-29,422
2016-08-22,428
2016-08-15,435
2016-08-08,387
2016-08-01,316
2016-07-25,536
2016-07-18,533
2016-07-11,483
2016-07-04,343
2016-06-27,460
2016-06-20,482
2016-06-13,299
2016-06-06,393
2016-05-30,230
2016-05-23,354
2016-05-16,313
2016-05-09,325
2016-05-02,342
2016-04-25,343
2016-04-18,443
2016-04-11,466
2016-04-04,413
2016-03-28,456
2016-03-21,308
2016-03-14,345
2016-03-07,245
2016-02-29,306
2016-02-22,214
2016-02-15,231
2016-02-08,273
2016-02-01,225
2016-01-25,272
2016-01-18,423
2016-01-11,283
2016-01-04,266
2015-12-28,113
