date,change,Date,Neg_Count,Pos_Count,Sent_Count,day,favorites,Count,pos_neg,pos,neg,flat,job_change,growthgap,negcount1day,poscount1day,sentcount1day,favcount1day,econcount1day,job_change1day,growthgap1day,change1day,negcount2day,poscount2day,sentcount2day,favcount2day,econcount2day,job_change2day,growthgap2day,change2day,negcount3day,poscount3day,sentcount3day,favcount3day,econcount3day,job_change3day,growthgap3day,change3day,negcount4day,poscount4day,sentcount4day,favcount4day,econcount4day,job_change4day,growthgap4day,change4day,negcount5day,poscount5day,sentcount5day,favcount5day,econcount5day,job_change5day,growthgap5day,change5day,negcount6day,poscount6day,sentcount6day,favcount6day,econcount6day,job_change6day,growthgap6day,change6day,negcount7day,poscount7day,sentcount7day,favcount7day,econcount7day,job_change7day,growthgap7day,change7day,negcount8day,poscount8day,sentcount8day,favcount8day,econcount8day,job_change8day,growthgap8day,change8day,negcount9day,poscount9day,sentcount9day,favcount9day,econcount9day,job_change9day,growthgap9day,change9day,negcount10day,poscount10day,sentcount10day,favcount10day,econcount10day,job_change10day,growthgap10day,change10day,negcount11day,poscount11day,sentcount11day,favcount11day,econcount11day,job_change11day,growthgap11day,change11day,negcount12day,poscount12day,sentcount12day,favcount12day,econcount12day,job_change12day,growthgap12day,change12day,negcount13day,poscount13day,sentcount13day,favcount13day,econcount13day,job_change13day,growthgap13day,change13day,negcount14day,poscount14day,sentcount14day,favcount14day,econcount14day,job_change14day,growthgap14day,change14day,negcount15day,poscount15day,sentcount15day,favcount15day,econcount15day,job_change15day,growthgap15day,change15day
2016-01-04,-0.0066506558285608615,2016-01-04,30,28,-2,2016-01-04,224,9,0,0,1,0,237.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-05,0.00018544274455271423,2016-01-05,27,19,-8,2016-01-05,156,4,1,0,0,1,237.0,-0.5,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,-0.0066506558285608615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06,0.002349844910235925,2016-01-06,62,39,-23,2016-01-06,664,9,1,1,0,0,237.0,-0.5,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,0.00018544274455271423,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,-0.0066506558285608615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-07,-0.006976966453215997,2016-01-07,84,79,-5,2016-01-07,605,8,0,0,1,0,237.0,-0.5,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,0.002349844910235925,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,0.00018544274455271423,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,-0.0066506558285608615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,-0.02023398542385884,2016-01-08,76,75,-1,2016-01-08,206,3,0,0,1,0,273.0,-0.5,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.006976966453215997,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,0.002349844910235925,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,0.00018544274455271423,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,-0.0066506558285608615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-11,-0.004190624695448715,2016-01-11,26,25,-1,2016-01-11,169,2,0,0,1,0,273.0,-0.5,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.02023398542385884,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.006976966453215997,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,0.002349844910235925,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,0.00018544274455271423,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,-0.0066506558285608615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12,-0.0032107413893753484,2016-01-12,43,45,2,2016-01-12,661,8,0,0,1,0,273.0,-0.5,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.004190624695448715,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.02023398542385884,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.006976966453215997,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,0.002349844910235925,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,0.00018544274455271423,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,-0.0066506558285608615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-13,-0.030733320365687582,2016-01-13,24,32,8,2016-01-13,288,4,0,0,1,0,273.0,-0.5,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.0032107413893753484,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.004190624695448715,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.02023398542385884,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.006976966453215997,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,0.002349844910235925,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,0.00018544274455271423,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,-0.0066506558285608615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-14,0.00959424345392758,2016-01-14,32,40,8,2016-01-14,283,6,1,1,0,0,273.0,-0.5,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030733320365687582,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.0032107413893753484,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.004190624695448715,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.02023398542385884,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.006976966453215997,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,0.002349844910235925,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,0.00018544274455271423,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,-0.0066506558285608615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,0.01350390902629707,2016-01-15,75,52,-23,2016-01-15,710,6,1,1,0,0,273.0,-0.5,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.00959424345392758,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030733320365687582,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.0032107413893753484,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.004190624695448715,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.02023398542385884,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.006976966453215997,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,0.002349844910235925,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,0.00018544274455271423,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,-0.0066506558285608615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
