Week,Count
2021-04-26,591
2021-04-19,559
2021-04-12,514
2021-04-05,720
2021-03-29,965
2021-03-22,76
2021-03-15,802
2021-03-08,2351
2021-03-01,688
2021-02-22,842
2021-02-15,1345
2021-02-08,904
2021-02-01,1871
2021-01-25,6292
2021-01-18,1243
2021-01-11,726
2021-01-04,483
2020-12-28,527
2020-12-21,487
2020-12-14,423
2020-12-07,643
2020-11-30,776
2020-11-23,814
2020-11-16,365
2020-11-09,304
2020-11-02,191
2020-10-26,315
2020-10-19,330
2020-10-12,409
2020-10-05,350
2020-09-28,329
2020-09-21,431
2020-09-14,415
2020-09-07,415
2020-08-31,633
2020-08-24,469
2020-08-17,413
2020-08-10,418
2020-08-03,479
2020-07-27,448
2020-07-20,279
2020-07-13,412
2020-07-06,421
2020-06-29,322
2020-06-22,422
2020-06-15,591
2020-06-08,354
2020-06-01,238
2020-05-25,493
2020-05-18,538
2020-05-11,480
2020-05-04,631
2020-04-27,676
2020-04-20,752
2020-04-13,707
2020-04-06,914
2020-03-30,691
2020-03-23,904
2020-03-16,1118
2020-03-09,963
2020-03-02,697
2020-02-24,697
2020-02-17,400
2020-02-10,356
2020-02-03,313
2020-01-27,323
2020-01-20,241
2020-01-13,197
2020-01-06,160
2019-12-30,172
2019-12-23,85
2019-12-16,112
2019-12-09,98
2019-12-02,164
2019-11-25,123
2019-11-18,118
2019-11-11,148
2019-11-04,177
2019-10-28,108
2019-10-21,132
2019-10-14,132
2019-10-07,128
2019-09-30,96
2019-09-23,100
2019-09-16,120
2019-09-09,150
2019-09-02,93
2019-08-26,128
2019-08-19,189
2019-08-12,267
2019-08-05,120
2019-07-29,132
2019-07-22,107
2019-07-15,120
2019-07-08,102
2019-07-01,72
2019-06-24,74
2019-06-17,81
2019-06-10,94
2019-06-03,118
2019-05-27,128
2019-05-20,82
2019-05-13,86
2019-05-06,93
2019-04-29,72
2019-04-22,86
2019-04-15,93
2019-04-08,85
2019-04-01,54
2019-03-25,81
2019-03-18,86
2019-03-11,76
2019-03-04,108
2019-02-25,54
2019-02-18,76
2019-02-11,86
2019-02-04,90
2019-01-28,68
2019-01-21,66
2019-01-14,83
2019-01-07,48
2018-12-31,93
2018-12-24,69
2018-12-17,87
2018-12-10,46
2018-12-03,74
2018-11-26,91
2018-11-19,38
2018-11-12,72
2018-11-05,44
2018-10-29,59
2018-10-22,107
2018-10-15,106
2018-10-08,95
2018-10-01,75
2018-09-24,102
2018-09-17,88
2018-09-10,89
2018-09-03,85
2018-08-27,58
2018-08-20,66
2018-08-13,93
2018-08-06,97
2018-07-30,81
2018-07-23,74
2018-07-16,72
2018-07-09,73
2018-07-02,35
2018-06-25,97
2018-06-18,95
2018-06-11,62
2018-06-04,59
2018-05-28,47
2018-05-21,64
2018-05-14,48
2018-05-07,68
2018-04-30,47
2018-04-23,35
2018-04-16,26
2018-04-09,34
2018-04-02,56
2018-03-26,43
2018-03-19,74
2018-03-12,22
2018-03-05,46
2018-02-26,42
2018-02-19,18
2018-02-12,43
2018-02-05,82
2018-01-29,64
2018-01-22,43
2018-01-15,10
2018-01-08,30
2018-01-01,28
2017-12-25,15
2017-12-18,20
2017-12-11,16
2017-12-04,31
2017-11-27,11
2017-11-20,28
2017-11-13,28
2017-11-06,19
2017-10-30,35
2017-10-23,32
2017-10-16,45
2017-10-09,28
2017-10-02,50
2017-09-25,58
2017-09-18,31
2017-09-11,47
2017-09-04,18
2017-08-28,16
2017-08-21,22
2017-08-14,22
2017-08-07,27
2017-07-31,29
2017-07-24,37
2017-07-17,24
2017-07-10,49
2017-07-03,21
2017-06-26,38
2017-06-19,44
2017-06-12,30
2017-06-05,44
2017-05-29,12
2017-05-22,22
2017-05-15,53
2017-05-08,35
2017-05-01,37
2017-04-24,36
2017-04-17,23
2017-04-10,27
2017-04-03,44
2017-03-27,43
2017-03-20,80
2017-03-13,61
2017-03-06,60
2017-02-27,66
2017-02-20,49
2017-02-13,53
2017-02-06,36
2017-01-30,44
2017-01-23,63
2017-01-16,79
2017-01-09,72
2017-01-02,24
2016-12-26,14
2016-12-19,29
2016-12-12,18
2016-12-05,7
2016-11-28,38
2016-11-21,35
2016-11-14,45
2016-11-07,34
2016-10-31,41
2016-10-24,36
2016-10-17,48
2016-10-10,36
2016-10-03,34
2016-09-26,43
2016-09-19,44
2016-09-12,69
2016-09-05,43
2016-08-29,51
2016-08-22,58
2016-08-15,59
2016-08-08,35
2016-08-01,37
2016-07-25,62
2016-07-18,47
2016-07-11,51
2016-07-04,62
2016-06-27,67
2016-06-20,67
2016-06-13,34
2016-06-06,51
2016-05-30,37
2016-05-23,42
2016-05-16,50
2016-05-09,38
2016-05-02,37
2016-04-25,44
2016-04-18,51
2016-04-11,59
2016-04-04,49
2016-03-28,74
2016-03-21,37
2016-03-14,44
2016-03-07,28
2016-02-29,38
2016-02-22,39
2016-02-15,21
2016-02-08,45
2016-02-01,28
2016-01-25,37
2016-01-18,55
2016-01-11,48
2016-01-04,39
2015-12-28,12
