Week,Count
2015-12-28,82
2016-01-04,190
2016-01-11,219
2016-01-18,261
2016-01-25,183
2016-02-01,162
2016-02-08,186
2016-02-15,132
2016-02-22,152
2016-02-29,190
2016-03-07,176
2016-03-14,248
2016-03-21,219
2016-03-28,290
2016-04-04,236
2016-04-11,309
2016-04-18,336
2016-04-25,194
2016-05-02,204
2016-05-09,177
2016-05-16,206
2016-05-23,224
2016-05-30,135
2016-06-06,218
2016-06-13,168
2016-06-20,343
2016-06-27,298
2016-07-04,223
2016-07-11,272
2016-07-18,219
2016-07-25,337
2016-08-01,191
2016-08-08,204
2016-08-15,241
2016-08-22,240
2016-08-29,269
2016-09-05,186
2016-09-12,238
2016-09-19,186
2016-09-26,203
2016-10-03,167
2016-10-10,163
2016-10-17,208
2016-10-24,160
2016-10-31,209
2016-11-07,184
2016-11-14,282
2016-11-21,127
2016-11-28,156
2016-12-05,70
2016-12-12,77
2016-12-19,192
2016-12-26,95
2017-01-02,131
2017-01-09,305
2017-01-16,285
2017-01-23,277
2017-01-30,230
2017-02-06,290
2017-02-13,319
2017-02-20,281
2017-02-27,355
2017-03-06,277
2017-03-13,330
2017-03-20,321
2017-03-27,247
2017-04-03,253
2017-04-10,158
2017-04-17,154
2017-04-24,131
2017-05-01,189
2017-05-08,270
2017-05-15,208
2017-05-22,124
2017-05-29,88
2017-06-05,240
2017-06-12,179
2017-06-19,244
2017-06-26,218
2017-07-03,104
2017-07-10,234
2017-07-17,148
2017-07-24,187
2017-07-31,182
2017-08-07,148
2017-08-14,101
2017-08-21,176
2017-08-28,95
2017-09-04,117
2017-09-11,217
2017-09-18,158
2017-09-25,234
2017-10-02,187
2017-10-09,185
2017-10-16,200
2017-10-23,175
2017-10-30,210
2017-11-06,132
2017-11-13,152
2017-11-20,119
2017-11-27,98
2017-12-04,175
2017-12-11,81
2017-12-18,133
2017-12-25,93
2018-01-01,153
2018-01-08,151
2018-01-15,73
2018-01-22,170
2018-01-29,257
2018-02-05,377
2018-02-12,181
2018-02-19,130
2018-02-26,194
2018-03-05,220
2018-03-12,145
2018-03-19,274
2018-03-26,186
2018-04-02,312
2018-04-09,250
2018-04-16,174
2018-04-23,222
2018-04-30,298
2018-05-07,335
2018-05-14,251
2018-05-21,312
2018-05-28,239
2018-06-04,298
2018-06-11,349
2018-06-18,453
2018-06-25,395
2018-07-02,234
2018-07-09,356
2018-07-16,383
2018-07-23,428
2018-07-30,394
2018-08-06,500
2018-08-13,467
2018-08-20,377
2018-08-27,321
2018-09-03,378
2018-09-10,492
2018-09-17,551
2018-09-24,530
2018-10-01,439
2018-10-08,515
2018-10-15,511
2018-10-22,555
2018-10-29,300
2018-11-05,281
2018-11-12,284
2018-11-19,201
2018-11-26,353
2018-12-03,315
2018-12-10,259
2018-12-17,343
2018-12-24,271
2018-12-31,420
2019-01-07,293
2019-01-14,451
2019-01-21,375
2019-01-28,341
2019-02-04,455
2019-02-11,366
2019-02-18,376
2019-02-25,257
2019-03-04,412
2019-03-11,363
2019-03-18,519
2019-03-25,373
2019-04-01,379
2019-04-08,442
2019-04-15,576
2019-04-22,442
2019-04-29,395
2019-05-06,456
2019-05-13,441
2019-05-20,518
2019-05-27,581
2019-06-03,594
2019-06-10,470
2019-06-17,460
2019-06-24,438
2019-07-01,400
2019-07-08,441
2019-07-15,553
2019-07-22,602
2019-07-29,560
2019-08-05,661
2019-08-12,1024
2019-08-19,855
2019-08-26,700
2019-09-02,506
2019-09-09,613
2019-09-16,606
2019-09-23,548
2019-09-30,498
2019-10-07,583
2019-10-14,561
2019-10-21,699
2019-10-28,640
2019-11-04,785
2019-11-11,659
2019-11-18,699
2019-11-25,621
2019-12-02,863
2019-12-09,482
2019-12-16,555
2019-12-23,426
2019-12-30,673
2020-01-06,920
2020-01-13,1097
2020-01-20,1268
2020-01-27,1561
2020-02-03,1589
2020-02-10,1708
2020-02-17,2092
2020-02-24,3308
2020-03-02,3116
2020-03-09,4622
2020-03-16,5285
2020-03-23,3880
2020-03-30,3080
2020-04-06,3870
2020-04-13,3146
2020-04-20,3495
2020-04-27,3132
2020-05-04,2795
2020-05-11,2091
2020-05-18,2690
2020-05-25,2069
2020-06-01,1243
2020-06-08,1506
2020-06-15,2642
2020-06-22,1847
2020-06-29,1628
2020-07-06,2123
2020-07-13,1960
2020-07-20,1436
2020-07-27,2144
2020-08-03,2477
2020-08-10,2372
2020-08-17,2040
2020-08-24,2354
2020-08-31,3074
2020-09-07,1862
2020-09-14,2180
2020-09-21,1941
2020-09-28,1466
2020-10-05,1745
2020-10-12,1930
2020-10-19,1810
2020-10-26,1618
2020-11-02,883
2020-11-09,1785
2020-11-16,1958
2020-11-23,4402
2020-11-30,3726
2020-12-07,3310
2020-12-14,2231
2020-12-21,2683
2020-12-28,2860
2021-01-04,2372
2021-01-11,4390
2021-01-18,7007
2021-01-25,32828
2021-02-01,9766
2021-02-08,4577
2021-02-15,6877
2021-02-22,3883
2021-03-01,3506
2021-03-08,12579
2021-03-15,4185
2021-03-22,448
2021-03-29,4807
2021-04-05,3608
2021-04-12,2810
2021-04-19,3144
2021-04-26,3339
