date,Neg_Count,Pos_Count,Count,negcount1day,poscount1day,change1day
2017-06-26,26,33,2,65.0,41.0,0.0009056852332139428
2017-07-06,58,39,6,26.0,33.0,-0.0025010250102501584
2017-10-05,14,18,12,58.0,39.0,-0.00553970813179534
2017-10-12,31,22,5,14.0,18.0,0.004417448923246843
2017-10-18,22,47,2,31.0,22.0,-7.85360873321693e-05
2017-11-02,29,37,7,22.0,47.0,-0.0007033997655334381
2018-02-13,9,26,3,29.0,37.0,0.0006992735324966006
2018-04-06,39,51,30,9.0,26.0,0.00769026783346582
2018-05-08,6,7,1,39.0,51.0,-0.014046010173866785
2018-05-25,36,56,4,6.0,7.0,0.0015759849906191966
2018-06-20,28,32,13,36.0,56.0,0.0
2018-08-24,63,43,30,28.0,32.0,-0.0010858942339014538
2018-10-02,68,31,39,63.0,43.0,0.0037355118000279054
2018-11-28,67,55,10,68.0,31.0,0.0
2018-12-06,10,25,3,67.0,55.0,0.018471810089020626
2019-02-06,4,31,1,10.0,25.0,0.014741275571600324
2019-02-12,10,19,2,4.0,31.0,-0.0001832911763628116
2019-02-28,25,42,4,10.0,19.0,0.006166948094853559
2019-03-08,24,51,8,25.0,42.0,-0.0010037281330655748
2019-05-09,13,28,1,24.0,51.0,0.005568989521506492
2019-05-20,65,46,6,13.0,28.0,0.005013497878904767
2019-06-04,21,15,11,65.0,46.0,-0.0003872421319440035
2019-06-25,30,33,13,21.0,15.0,0.012305138568129216
2019-07-16,55,49,28,30.0,33.0,-0.01001021450459652
2019-08-23,62,43,26,55.0,49.0,-0.002893730251122583
2019-10-04,12,15,5,62.0,43.0,-0.02086484256840366
2019-10-07,8,14,2,12.0,15.0,0.011025623411417312
2019-10-08,36,60,35,8.0,14.0,-0.0013289262957032854
2019-10-09,11,16,5,36.0,60.0,-0.008624244090159591
2019-11-25,31,34,25,11.0,16.0,0.0017884780739466268
2020-04-09,22,20,3,31.0,34.0,0.004455413808577429
2020-05-13,24,10,1,22.0,20.0,0.002233590316305225
2020-06-19,15,12,1,24.0,10.0,-0.015591134726980285
2020-08-27,28,30,24,15.0,12.0,-0.01760193525798144
2020-10-06,76,68,21,28.0,30.0,-0.000516484462425775
