date,Sent_Count
2017-06-26,7
2017-07-06,-19
2017-10-05,4
2017-10-12,-9
2017-10-18,25
2017-11-02,8
2018-02-13,17
2018-04-06,12
2018-05-08,1
2018-05-25,20
2018-06-20,4
2018-08-24,-20
2018-10-02,-37
2018-11-28,-12
2018-12-06,15
2019-02-06,27
2019-02-12,9
2019-02-28,17
2019-03-08,27
2019-05-09,15
2019-05-20,-19
2019-06-04,-6
2019-06-25,3
2019-07-16,-6
2019-08-23,-19
2019-10-04,3
2019-10-07,6
2019-10-08,24
2019-10-09,5
2019-11-25,3
2020-04-09,-2
2020-05-13,-14
2020-06-19,-3
2020-08-27,2
2020-10-06,-8
