date,Sent_Count,favorites
2016-05-11,-6,211703
2016-05-24,-5,124673
2016-05-31,7,122838
2016-06-03,7,172336
2016-06-06,-4,129170
2016-06-13,-2,182567
2016-06-16,2,56606
2016-06-17,2,140091
2016-06-21,-8,244789
2016-06-27,-1,108981
2016-06-29,2,113064
2016-06-30,-3,137945
2016-07-06,-7,265949
2016-07-12,-1,285599
2016-07-13,-7,255007
2016-07-26,-3,479213
2016-08-01,-11,454687
2016-08-02,-3,325161
2016-08-08,0,172874
2016-08-12,-1,250298
2016-08-25,-1,205661
2016-09-23,0,106014
2016-09-27,4,959835
2016-10-05,-3,924564
2016-10-20,-5,1345482
2017-01-03,1,480914
2017-01-06,-2,606256
2017-01-26,-3,827391
2017-01-27,-2,719908
2017-02-16,3,556404
2017-03-07,1,649797
2017-03-15,1,515826
2017-03-28,1,567799
2017-03-30,0,327343
2017-04-03,2,527491
2017-04-11,0,269825
2017-04-26,-1,407113
2017-04-27,-8,545948
2017-05-30,-2,211121
2017-06-19,4,383712
2017-06-30,0,500552
2017-07-12,4,912673
2017-07-31,-2,318543
2017-08-04,5,515529
2017-08-14,3,542279
2017-08-16,2,663834
2017-08-30,0,438175
2017-09-06,5,436346
2017-09-07,-1,422318
2017-09-14,-1,818266
2017-09-25,1,926179
2017-09-28,0,368667
2017-10-05,-3,509535
2017-10-10,4,651858
2017-10-11,5,845697
2017-10-12,-3,502714
2017-10-16,6,502283
2017-10-18,-1,938346
2017-10-19,1,407866
2017-10-20,1,616294
2017-10-23,2,336116
2017-10-25,3,666207
2017-10-31,-2,774595
2017-11-01,1,869079
2017-11-07,3,416423
2017-11-09,5,343497
2017-11-20,-5,386485
2017-11-29,0,873824
2017-12-01,-3,759569
2017-12-14,3,357900
2017-12-28,2,508435
2017-12-29,1,486530
2018-01-02,2,968955
2018-01-04,1,955328
2018-01-08,-6,505238
2018-01-18,5,1057435
2018-02-02,6,573930
2018-02-20,10,851594
2018-02-27,0,506895
2018-03-01,-3,332230
2018-03-02,-1,762012
2018-03-05,-6,518197
2018-03-07,5,370938
2018-03-14,2,621438
2018-03-15,2,339002
2018-03-22,-3,642413
