date,Neg_Count,Pos_Count,favorites,Count
2016-01-26,72,72,500,11
2016-01-27,36,42,337,8
2016-01-28,33,42,608,3
2016-01-29,33,30,157,3
2016-02-01,24,23,276,6
2016-02-02,26,33,264,5
2016-02-03,32,46,433,4
2016-02-04,19,25,177,4
2016-02-05,39,47,501,3
2016-02-08,40,36,502,7
2016-02-09,49,52,757,9
2016-02-10,35,47,352,8
2016-02-11,61,57,259,10
2016-02-12,42,58,381,6
2016-02-16,54,48,687,3
2016-02-17,26,37,356,4
2016-02-18,42,53,313,6
2016-02-19,35,59,509,3
2016-02-22,28,32,198,8
2016-02-23,11,13,138,4
2016-02-24,20,35,637,5
2016-02-25,48,65,308,9
2016-02-26,27,31,536,8
2016-02-29,29,32,181,4
2016-03-01,24,40,336,6
2016-03-02,34,62,755,4
2016-03-03,89,83,451,13
2016-03-04,70,68,511,7
2016-03-07,48,49,380,8
2016-03-08,33,30,250,4
2016-03-09,46,52,589,6
2016-03-10,16,23,289,3
2016-03-11,15,23,218,1
2016-03-14,31,27,444,7
2016-03-15,34,49,355,7
2016-03-16,42,34,571,5
2016-03-17,55,77,1058,10
2016-03-18,54,54,387,8
2016-03-21,30,45,242,5
2016-03-22,57,77,498,9
2016-03-23,58,70,947,6
2016-03-24,70,50,474,6
2016-03-28,41,63,701,9
2016-03-29,42,97,655,8
2016-03-30,69,64,534,12
2016-03-31,80,72,618,13
2016-04-01,62,115,697,20
2016-04-04,41,64,728,8
2016-04-05,58,84,526,7
2016-04-06,46,67,505,5
2016-04-07,37,56,662,8
2016-04-08,38,57,629,4
2016-04-11,97,116,453,21
2016-04-12,69,108,860,8
2016-04-13,68,83,834,14
2016-04-14,43,51,440,7
2016-04-15,50,49,433,4
2016-04-18,59,90,657,10
2016-04-19,102,80,593,8
2016-04-20,83,90,521,9
2016-04-21,69,73,574,9
2016-04-22,43,54,549,5
2016-04-25,45,53,637,6
2016-04-26,56,83,1063,7
2016-04-27,37,52,487,6
2016-04-28,38,43,1031,11
2016-04-29,58,62,566,10
2016-05-02,23,43,825,4
2016-05-03,58,77,891,7
2016-05-04,17,43,473,4
2016-05-05,47,79,472,11
2016-05-06,49,65,772,6
2016-05-09,17,36,449,3
2016-05-10,34,57,406,5
2016-05-11,40,68,436,6
2016-05-12,40,50,1007,12
2016-05-13,57,75,446,7
2016-05-16,29,45,411,8
2016-05-17,55,78,1716,16
2016-05-18,55,47,420,11
2016-05-19,32,31,868,4
2016-05-20,33,51,713,4
2016-05-23,34,61,769,4
2016-05-24,65,56,487,11
2016-05-25,53,55,482,8
2016-05-26,41,73,401,6
2016-05-27,77,71,1087,9
2016-05-31,40,54,800,11
2016-06-01,32,62,910,7
2016-06-02,40,33,740,6
2016-06-03,13,15,540,1
2016-06-06,40,42,456,10
2016-06-07,57,135,654,9
2016-06-08,40,57,492,8
2016-06-09,96,96,469,13
2016-06-10,16,24,275,4
2016-06-13,34,60,297,5
2016-06-14,36,35,786,5
2016-06-15,22,33,402,5
2016-06-16,45,48,529,7
2016-06-17,65,69,481,5
2016-06-20,51,49,1325,8
2016-06-21,66,90,2709,16
2016-06-22,44,69,584,11
2016-06-23,29,35,812,3
2016-06-24,104,72,1805,9
2016-06-27,47,51,1293,11
2016-06-28,76,94,1624,18
2016-06-29,57,71,1524,13
2016-06-30,88,100,1040,14
2016-07-01,57,71,772,4
2016-07-05,33,34,481,10
2016-07-06,45,48,710,5
2016-07-07,67,103,780,13
2016-07-08,107,91,1140,14
2016-07-11,49,61,1035,6
2016-07-12,62,98,805,11
2016-07-13,43,55,773,9
2016-07-14,106,141,1480,15
2016-07-15,61,48,335,7
2016-07-18,77,84,2096,11
2016-07-19,56,127,967,10
2016-07-20,54,103,752,10
2016-07-21,53,78,1890,6
2016-07-22,49,91,766,8
2016-07-25,120,125,557,13
2016-07-26,57,66,570,10
2016-07-27,77,124,1149,11
2016-07-28,65,91,805,13
2016-07-29,45,65,814,6
2016-08-01,37,36,343,4
2016-08-02,77,103,1054,15
2016-08-03,57,51,1175,6
2016-08-04,38,49,903,3
2016-08-05,47,53,462,2
2016-08-08,37,54,458,4
2016-08-09,30,57,493,6
2016-08-10,54,72,663,7
2016-08-11,62,80,657,5
2016-08-12,50,67,847,7
2016-08-15,30,48,624,12
2016-08-16,47,123,906,10
2016-08-17,44,66,839,9
2016-08-18,41,59,552,11
2016-08-19,36,67,1173,6
2016-08-22,28,47,2477,6
2016-08-23,57,64,1280,7
2016-08-24,88,114,2017,22
2016-08-25,57,53,1097,5
2016-08-26,98,97,1259,12
2016-08-29,33,55,887,5
2016-08-30,82,82,812,12
2016-08-31,68,38,1233,2
2016-09-01,140,133,1102,18
2016-09-02,39,61,1757,6
2016-09-06,43,64,744,4
2016-09-07,57,53,1329,7
2016-09-08,55,64,885,8
2016-09-09,41,52,1535,15
2016-09-12,69,60,1863,11
2016-09-13,45,59,750,6
2016-09-14,82,77,798,11
2016-09-15,53,75,2020,16
2016-09-16,82,114,620,14
2016-09-19,27,31,730,1
2016-09-20,83,120,4170,13
2016-09-21,48,71,1460,11
2016-09-22,39,39,798,4
2016-09-23,40,53,1284,10
2016-09-26,33,43,989,7
2016-09-27,55,106,3680,20
2016-09-28,40,48,711,2
2016-09-29,34,40,727,6
2016-09-30,40,63,1407,6
2016-10-03,36,24,996,2
2016-10-04,32,77,1401,9
2016-10-05,48,45,1338,5
2016-10-06,78,83,1221,5
2016-10-07,45,80,673,12
2016-10-10,48,34,361,7
2016-10-11,46,27,386,6
2016-10-12,27,35,1149,3
2016-10-13,64,84,1497,9
2016-10-14,26,33,448,2
2016-10-18,25,21,420,5
2016-10-19,66,69,484,7
2016-10-20,93,74,792,9
2016-10-21,50,53,590,13
2016-10-24,67,82,898,5
2016-10-25,50,41,1451,7
2016-10-26,23,26,591,4
2016-10-27,56,60,902,7
2016-10-28,57,59,1345,11
2016-11-01,50,45,473,7
2016-11-02,41,51,1158,8
2016-11-03,65,82,655,13
2016-11-04,42,30,502,3
2016-11-07,28,33,744,1
2016-11-08,60,74,948,8
2016-11-09,49,68,3053,10
2016-11-10,92,70,704,5
2016-11-11,40,52,438,5
2016-11-14,27,45,1221,9
2016-11-15,80,104,5465,8
2016-11-16,63,80,1171,5
2016-11-17,85,107,2084,15
2016-11-18,52,83,1598,7
2016-11-21,26,23,1269,2
2016-11-22,40,61,621,13
2016-11-23,19,35,864,8
2016-11-25,11,16,535,5
2016-11-28,51,61,467,4
2016-11-29,28,38,546,10
2016-11-30,10,6,558,1
2016-12-01,68,60,826,13
2016-12-02,27,24,500,1
2016-12-05,44,44,1579,1
2016-12-06,55,71,1930,6
2016-12-16,114,95,746,12
2016-12-19,26,34,481,1
2016-12-20,19,30,588,1
2016-12-21,72,68,713,10
2016-12-22,62,59,385,9
2016-12-23,26,41,411,7
2016-12-27,23,27,181,4
2016-12-28,10,15,730,2
2016-12-29,26,21,1063,1
2016-12-30,15,25,477,3
2017-01-04,31,35,1465,2
2017-01-05,28,31,1268,3
2017-01-06,71,102,720,9
2017-01-09,104,120,551,18
2017-01-10,47,50,696,10
2017-01-11,87,93,3245,14
2017-01-12,48,76,2252,8
2017-01-13,134,124,671,22
2017-01-17,101,90,1018,13
2017-01-18,44,54,430,11
2017-01-19,121,126,1976,42
2017-01-20,12,21,459,3
2017-01-23,21,34,796,2
2017-01-24,24,31,406,1
2017-01-25,60,65,1669,11
2017-01-26,58,71,13436,9
2017-01-27,234,250,11001,32
2017-01-30,42,51,1350,5
2017-01-31,78,78,43414,10
2017-02-01,47,55,3016,5
2017-02-02,64,59,989,8
2017-02-03,39,49,1664,5
2017-02-06,35,41,1747,5
2017-02-07,52,104,3696,10
2017-02-08,81,151,1403,9
2017-02-09,69,62,885,5
2017-02-10,46,78,1272,2
2017-02-13,97,87,768,13
2017-02-14,40,54,675,8
2017-02-15,75,74,2361,3
2017-02-16,58,66,902,5
2017-02-17,57,65,990,5
2017-02-21,94,136,5923,17
2017-02-22,63,77,1096,3
2017-02-23,96,112,1376,16
2017-02-24,63,92,1029,9
2017-02-27,45,64,2049,12
2017-02-28,66,81,2852,9
2017-03-01,89,95,1474,19
2017-03-02,91,130,1638,13
2017-03-03,90,117,1746,9
2017-03-06,25,29,746,1
2017-03-07,127,127,1092,20
2017-03-08,68,61,905,6
2017-03-09,55,65,708,7
2017-03-10,58,71,814,5
2017-03-13,53,93,1054,17
2017-03-14,42,54,1746,6
2017-03-15,157,146,1354,21
2017-03-16,65,115,678,10
2017-03-17,36,61,597,3
2017-03-20,70,87,702,15
2017-03-21,182,130,849,41
2017-03-22,39,40,1121,6
2017-03-23,31,35,1849,5
2017-03-24,18,46,568,2
2017-03-27,21,30,1067,3
2017-03-28,135,152,1311,16
2017-03-29,48,60,1550,2
2017-03-30,58,68,1383,21
2017-04-03,43,38,750,5
2017-04-04,34,60,1898,5
2017-04-05,71,99,1588,6
2017-04-06,55,92,837,12
2017-04-07,62,57,1101,6
2017-04-10,44,31,517,3
2017-04-11,58,46,3570,5
2017-04-12,68,121,1125,12
2017-04-13,22,18,873,3
2017-04-17,15,30,696,4
2017-04-18,20,34,1398,3
2017-04-19,50,49,917,3
2017-04-20,40,42,2228,5
2017-04-21,21,23,518,1
