date,Sent_Count,favorites,Count,sentcount1day,favcount1day,econcount1day,job_change1day,growthgap1day,change1day
2016-01-26,0,500,11,11.0,563.0,4.0,273.0,-0.5,-0.013949780789159084
2016-01-27,6,337,8,0.0,500.0,11.0,273.0,-0.5,0.01962362886182941
2016-01-28,9,608,3,6.0,337.0,8.0,273.0,-0.5,-0.010107015457788308
2016-01-29,-3,157,3,9.0,608.0,3.0,273.0,-0.5,-0.005955334987592996
2016-02-01,-1,276,6,-3.0,157.0,3.0,273.0,-0.1,0.02836385350318465
2016-02-02,7,264,5,-1.0,276.0,6.0,273.0,-0.1,0.00350808809198986
2016-02-03,14,433,4,7.0,264.0,5.0,273.0,-0.1,-0.009420076538121809
2016-02-04,6,177,4,14.0,433.0,4.0,273.0,-0.1,-0.004819040125885219
2016-02-05,8,501,3,6.0,177.0,4.0,273.0,-0.1,0.007428684627575278
2016-02-08,-4,502,7,8.0,501.0,3.0,108.0,-0.1,-0.018271604938271548
2016-02-09,3,757,9,-4.0,502.0,7.0,108.0,-0.1,-0.0003045994517209985
2016-02-10,12,352,8,3.0,757.0,9.0,108.0,-0.1,0.0074035989717223544
2016-02-11,-4,259,10,12.0,352.0,8.0,108.0,-0.1,-0.007922803453529722
2016-02-12,16,381,6,-4.0,259.0,10.0,108.0,-0.1,0.005938737236924289
2016-02-16,-6,687,3,16.0,381.0,6.0,108.0,-0.1,0.008524186094279535
2016-02-17,11,356,4,-6.0,687.0,3.0,108.0,-0.1,0.00985915492957736
2016-02-18,11,313,6,11.0,356.0,4.0,108.0,-0.1,0.006040202000198034
2016-02-19,24,509,3,11.0,313.0,6.0,108.0,-0.1,-0.002949562481565207
2016-02-22,4,198,8,24.0,509.0,3.0,108.0,-0.1,0.007420599584446422
2016-02-23,2,138,4,4.0,198.0,8.0,108.0,-0.1,0.002432853250291942
2016-02-24,15,637,5,2.0,138.0,4.0,108.0,-0.1,-0.003115568104371465
2016-02-25,17,308,9,15.0,637.0,5.0,108.0,-0.1,0.019327482496795268
2016-02-26,4,536,8,17.0,308.0,9.0,108.0,-0.1,0.006658946149391986
2016-02-29,3,181,4,4.0,536.0,8.0,108.0,-0.4,-0.0006675567423230324
2016-03-01,16,336,6,3.0,181.0,4.0,108.0,-0.4,-0.002863688430698848
2016-03-02,28,755,4,16.0,336.0,6.0,108.0,-0.4,0.011789313557710542
2016-03-03,-6,451,13,28.0,755.0,4.0,108.0,-0.4,0.009877704609595458
2016-03-04,-2,511,7,-6.0,451.0,13.0,108.0,-0.4,0.010994130252492377
2016-03-07,1,380,8,-2.0,511.0,7.0,212.0,-0.4,0.005158437730287419
2016-03-08,-3,250,4,1.0,380.0,8.0,212.0,-0.4,0.015268579838116232
2016-03-09,6,589,6,-3.0,250.0,4.0,212.0,-0.4,-0.017569412835684958
2016-03-10,7,289,3,6.0,589.0,6.0,212.0,-0.4,0.001569134207125731
2016-03-11,8,218,1,7.0,289.0,3.0,212.0,-0.4,-0.010652952520892612
2016-03-14,-4,444,7,8.0,218.0,1.0,212.0,-0.4,0.012893718916927664
2016-03-15,15,355,7,-4.0,444.0,7.0,212.0,-0.4,-0.0022791503327559484
2016-03-16,-8,571,5,15.0,355.0,7.0,212.0,-0.4,-0.007440066133921211
2016-03-17,22,1058,10,-8.0,571.0,5.0,212.0,-0.4,0.0101301115241636
2016-03-18,0,387,8,22.0,1058.0,10.0,212.0,-0.4,0.018325812689934568
2016-03-21,15,242,5,0.0,387.0,8.0,212.0,-0.4,0.007489622811766942
2016-03-22,20,498,9,15.0,242.0,5.0,212.0,-0.4,-0.0010769092703940102
2016-03-23,12,947,6,20.0,498.0,9.0,212.0,-0.4,0.0032543843789549763
2016-03-24,-20,474,6,12.0,947.0,6.0,212.0,-0.4,-0.013415518491660531
2016-03-28,22,701,9,-20.0,474.0,6.0,212.0,-0.8,0.008219431104543781
2016-03-29,55,655,8,22.0,701.0,9.0,212.0,-0.8,-0.0015530787502282795
2016-03-30,-5,534,12,55.0,655.0,8.0,212.0,-0.8,0.030453127866446588
2016-03-31,-8,618,13,-5.0,534.0,12.0,212.0,-0.8,-0.003809355067328071
2016-04-01,53,697,20,-8.0,618.0,13.0,212.0,-0.8,-0.00017763566924247474
2016-04-04,23,728,8,53.0,697.0,20.0,237.0,-0.8,0.01110912022934953
2016-04-05,26,526,7,23.0,728.0,8.0,237.0,-0.8,-0.009494232475599
2016-04-06,21,505,5,26.0,526.0,7.0,237.0,-0.8,-0.004603719082866989
2016-04-07,19,662,8,21.0,505.0,5.0,237.0,-0.8,0.008431550317316471
2016-04-08,19,629,4,19.0,662.0,8.0,237.0,-0.8,-0.007509273500407114
2016-04-11,19,453,21,19.0,629.0,4.0,237.0,-0.8,-0.001990049751243771
2016-04-12,39,860,8,19.0,453.0,21.0,237.0,-0.8,-0.006768953068592058
2016-04-13,15,834,14,39.0,860.0,8.0,237.0,-0.8,0.009532455742169745
2016-04-14,8,440,7,15.0,834.0,14.0,237.0,-0.8,0.016189624329159234
2016-04-15,-1,433,4,8.0,440.0,7.0,237.0,-0.8,-0.0016734190593624444
2016-04-18,31,657,10,-1.0,433.0,4.0,237.0,-0.8,0.005931303116147324
2016-04-19,-22,593,8,31.0,657.0,10.0,237.0,-0.8,0.01086764446015188
2016-04-20,7,521,9,-22.0,593.0,8.0,237.0,-0.8,0.0011333914559720616
2016-04-21,4,574,9,7.0,521.0,9.0,237.0,-0.8,0.0011328976034857992
2016-04-22,11,549,5,4.0,574.0,9.0,237.0,-0.8,-0.007489984323288621
2016-04-25,8,637,6,11.0,549.0,5.0,237.0,-0.8,0.009731720147290894
2016-04-26,27,1063,7,8.0,637.0,6.0,237.0,-0.8,-0.0068701626228367
2016-04-27,15,487,6,27.0,1063.0,7.0,237.0,-0.8,0.009247142981767443
2016-04-28,5,1031,11,15.0,487.0,6.0,237.0,-0.8,0.004927811878620154
2016-04-29,4,566,10,5.0,1031.0,11.0,237.0,1.8,-0.009852216748768478
2016-05-02,20,825,4,4.0,566.0,10.0,237.0,1.8,-0.005586592178770954
2016-05-03,19,891,7,20.0,825.0,4.0,237.0,1.8,0.006039387308533897
2016-05-04,26,473,4,19.0,891.0,7.0,237.0,1.8,-0.00684270550048251
2016-05-05,32,472,11,26.0,473.0,4.0,237.0,1.8,8.877840909095451e-05
2016-05-06,16,772,6,32.0,472.0,11.0,237.0,1.8,-0.008938844145499522
2016-05-09,19,449,3,16.0,772.0,6.0,197.0,1.8,0.011743612729717636
2016-05-10,23,406,5,19.0,449.0,3.0,197.0,1.8,-0.00044290902648593466
2016-05-11,28,436,6,23.0,406.0,5.0,197.0,1.8,0.003792221536290613
2016-05-12,10,1007,12,28.0,436.0,6.0,197.0,1.8,-0.010129481194398007
2016-05-13,18,446,7,10.0,1007.0,12.0,197.0,1.8,-0.006386375731772209
2016-05-16,16,411,8,18.0,446.0,7.0,197.0,1.8,-0.00599391662193596
2016-05-17,23,1716,16,16.0,411.0,8.0,197.0,1.8,0.008436546401005184
2016-05-18,-8,420,11,23.0,1716.0,16.0,197.0,1.8,-0.014367303230412276
2016-05-19,-1,868,4,-8.0,420.0,11.0,197.0,1.8,0.009367042560931259
2016-05-20,18,713,4,-1.0,868.0,4.0,197.0,1.8,9.080177971492888e-05
2016-05-23,27,769,4,18.0,713.0,4.0,197.0,1.8,0.011482820976491956
2016-05-24,-9,487,11,27.0,769.0,4.0,197.0,1.8,-0.004551539491298447
2016-05-25,2,482,8,-9.0,487.0,11.0,197.0,1.8,0.01568627450980384
2016-05-26,32,401,6,2.0,482.0,8.0,197.0,1.8,0.0017487103261343766
2016-05-27,-6,1087,9,32.0,401.0,6.0,197.0,1.8,-0.0020045319853581123
2016-05-31,14,800,11,-6.0,1087.0,9.0,197.0,1.5,0.009612863759503577
2016-06-01,30,910,7,14.0,800.0,11.0,197.0,1.5,-8.638562543197232e-05
2016-06-02,-7,740,6,30.0,910.0,7.0,197.0,1.5,0.009699489044773574
2016-06-03,2,540,1,-7.0,740.0,6.0,197.0,1.5,0.007737276478679555
2016-06-06,2,456,10,2.0,540.0,1.0,41.0,1.5,-0.0035903573260386533
2016-06-07,78,654,9,2.0,456.0,10.0,41.0,1.5,0.009591504667294722
2016-06-08,17,492,8,78.0,654.0,9.0,41.0,1.5,0.0024580437362264115
2016-06-09,0,469,13,17.0,492.0,8.0,41.0,1.5,0.007683215130023613
2016-06-10,8,275,4,0.0,469.0,13.0,41.0,1.5,-0.001765596098873329
2016-06-13,26,297,5,8.0,275.0,4.0,41.0,1.5,-0.003740860397891496
2016-06-14,-1,786,5,26.0,297.0,5.0,41.0,1.5,-0.007537473233404672
2016-06-15,11,402,5,-1.0,786.0,5.0,41.0,1.5,0.001992031872509995
2016-06-16,3,529,7,11.0,402.0,5.0,41.0,1.5,-0.0037891836031691156
2016-06-17,4,481,5,3.0,529.0,7.0,41.0,1.5,0.005129988696634981
2016-06-20,-2,1325,8,4.0,481.0,5.0,41.0,1.5,-0.0038019528212217897
2016-06-21,24,2709,16,-2.0,1325.0,8.0,41.0,1.5,-0.0008561643835615952
2016-06-22,25,584,11,24.0,2709.0,16.0,41.0,1.5,-0.002062032820689018
2016-06-23,6,812,3,25.0,584.0,11.0,41.0,1.5,-0.006017364394395279
2016-06-24,-32,1805,9,6.0,812.0,3.0,41.0,1.5,0.010015408320493082
2016-06-27,4,1293,11,-32.0,1805.0,9.0,41.0,1.5,0.0005291005291004239
2016-06-28,18,1624,18,4.0,1293.0,11.0,41.0,1.5,-0.019702237674957726
2016-06-29,14,1524,13,18.0,1624.0,18.0,41.0,1.2,0.004960317460317563
2016-06-30,12,1040,14,14.0,1524.0,13.0,41.0,1.2,0.010217681030653094
2016-07-01,14,772,4,12.0,1040.0,14.0,41.0,1.2,0.018403295066164182
